t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
1778775 0 0 572 2238 1206 1660 1808 0.000000 -0.203507 0.000000 0.000000 0.000000 -0.025980
1779546 0 0 735 2385 1206 1732 1847 0.000000 -0.246603 0.000000 0.000000 0.000000 -0.027046
1779803 0 0 749 2940 1206 1491 1887 0.000000 -0.222661 0.000000 0.000000 0.000000 -0.024248
1780831 0 0 735 3064 1181 1524 1847 0.000000 -0.172383 0.000000 0.000000 0.000000 -0.022649
1781088 0 0 749 3064 1206 1625 1847 0.000000 -0.172383 0.000000 0.000000 0.000000 -0.027579
1781859 0 0 735 3001 1181 1732 1847 0.000000 -0.215478 0.000000 0.000000 0.000000 -0.026113
1782116 0 0 749 2286 1206 1770 1847 0.000000 -0.268151 0.000000 0.000000 0.000000 -0.029311
1783144 0 0 749 2594 1206 1696 1847 0.000000 -0.287304 0.000000 0.000000 0.000000 -0.027446
1783401 0 0 749 2541 1206 1660 1847 0.000000 -0.198719 0.000000 0.000000 0.000000 -0.025181
1784172 0 0 735 2649 1181 1590 1847 0.000000 -0.196325 0.000000 0.000000 0.000000 -0.025447
1784429 0 0 749 2705 1206 1625 1887 0.000000 -0.196325 0.000000 0.000000 0.000000 -0.026380
1785200 0 0 735 2488 1206 1808 1847 0.000000 -0.241814 0.000000 0.000000 0.000000 -0.025181
1786228 0 0 749 2649 1206 1732 1847 0.000000 -0.225055 0.000000 0.000000 0.000000 -0.021184
1786485 0 0 735 2594 1206 1732 1847 0.000000 -0.234632 0.000000 0.000000 0.000000 -0.023315
1787513 0 0 749 2436 1206 1732 1847 0.000000 -0.213084 0.000000 0.000000 0.000000 -0.028245
1787770 0 0 722 2436 1133 1696 1808 0.000000 -0.169988 0.000000 0.000000 0.000000 -0.025047
1788541 0 0 735 2594 1181 1660 1887 0.000000 -0.244209 0.000000 0.000000 0.000000 -0.024381
1789569 0 0 735 2541 1206 1732 1928 0.000000 -0.189142 0.000000 0.000000 0.000000 -0.024914
1789826 0 0 735 2705 1206 1732 1847 0.000000 -0.292093 0.000000 0.000000 0.000000 -0.025714
1790854 0 0 762 2436 1157 1732 1887 0.000000 -0.248997 0.000000 0.000000 0.000000 -0.020384
1791111 0 0 709 2385 1110 1625 1847 0.000000 -0.275333 0.000000 0.000000 0.000000 -0.020651
1791882 0 0 735 2762 1181 1732 1808 0.000000 -0.227449 0.000000 0.000000 0.000000 -0.026113
1792139 0 0 709 2145 1157 1590 1808 0.000000 -0.270545 0.000000 0.000000 0.000000 -0.023449
1792910 0 0 735 2594 1206 1732 1887 0.000000 -0.229843 0.000000 0.000000 0.000000 -0.025047
1793938 0 0 722 2705 1181 1732 1847 0.000000 -0.237026 0.000000 0.000000 0.000000 -0.024248
1794195 0 0 735 2436 1181 1732 1847 0.000000 -0.234632 0.000000 0.000000 0.000000 -0.024914
1794966 0 0 735 2436 1206 1770 1847 0.000000 -0.246603 0.000000 0.000000 0.000000 -0.025714
1795223 0 0 735 2705 1206 1660 1847 0.000000 -0.215478 0.000000 0.000000 0.000000 -0.025714
1795994 0 0 735 2488 1206 1590 1887 0.000000 -0.193930 0.000000 0.000000 0.000000 -0.024515
