t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
3009890 0 0 31 1 41 187 205 0 -484 0 0 0 -144
3010918 0 0 30 1 42 188 206 0 -388 0 0 0 -138
3011946 0 0 27 1 43 187 204 0 -476 0 0 0 -116
3012974 0 0 29 1 40 187 204 0 -472 0 0 0 -190
3013231 0 0 29 1 44 187 205 0 -532 0 0 0 -111
3014002 0 0 28 1 42 187 204 0 -428 0 0 0 -121
3015287 0 0 30 1 44 186 204 0 -396 0 0 0 -195
3016572 0 0 29 1 41 186 204 0 -396 0 0 0 -135
3017343 -5 0 27 1 39 187 205 0 -1828 0 0 0 -747
3017600 21 14 34 1 30 191 206 0 -444 0 0 0 -883
3019399 20 20 36 2 38 198 209 0 -116 0 0 0 -350
3019656 20 19 34 2 31 199 211 0 -800 0 0 0 -115
3020684 19 18 41 1 34 200 212 0 -828 0 0 0 -299
3020941 20 18 35 1 35 202 212 0 -668 0 0 0 -261
3021712 21 22 35 1 35 203 214 0 84 0 0 0 -16
3021969 20 21 32 1 37 201 212 0 -1244 0 0 0 -121
3022740 22 22 35 1 42 203 213 0 444 0 0 0 -43
3022997 20 21 34 2 41 203 212 0 -1352 0 0 0 -118
3024025 22 22 33 1 38 203 212 0 -580 0 0 0 -136
3024282 22 23 34 1 38 203 212 0 -2112 0 0 0 12
3025053 19 18 36 1 41 203 208 0 336 0 0 0 -125
3025310 20 19 36 1 42 204 210 0 -1700 0 0 0 -79
3026081 21 21 33 2 45 204 208 0 456 0 0 0 -65
3026338 20 21 33 1 46 202 207 0 -904 0 0 0 -110
3027366 19 19 30 1 48 204 205 0 -64 0 0 0 -90
3027623 19 18 30 1 48 202 206 0 -1936 0 0 0 -131
3028394 21 21 121 1 49 203 204 0 336 0 0 0 -58
3028651 20 21 121 1 49 204 204 0 -1128 0 0 0 -119
3029422 22 23 125 1 53 201 200 0 616 0 0 0 -41
3029679 23 23 120 1 53 201 200 0 -980 0 0 0 -193
3031478 18 22 126 2 64 200 197 0 -176 0 0 0 300
3031735 8 18 124 1 78 195 186 0 508 0 0 0 1002
3032763 11 22 119 3 58 171 193 0 -416 0 0 0 858
