t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
877468 0 -6114 100.000000 0.000000 0.021982 100.000000 0.000000 0.040701 100.000000 0.000000 0.028511 100.000000 0 0 -6114 0 6114.000000 0.000000 0.021982 100.000000
877725 0 -2038 100.000000 0.000000 0.007499 100.000000 0.000000 0.002394 100.000000 0.000000 0.029178 100.000000 0 0 -8151 -45 8151.124023 0.000000 0.029481 100.000000
878496 0 -6129 100.000000 0.000000 0.020544 100.000000 0.000000 -0.026336 100.000000 0.000000 0.026646 100.000000 0 0 -14277 -226 14278.789063 0.000000 0.050025 100.000000
878753 0 -2038 100.000000 0.000000 0.006300 100.000000 0.000000 0.071826 100.000000 0.000000 0.024515 100.000000 0 0 -16313 -328 16316.296875 0.000000 0.056326 100.000000
879524 0 -6090 100.000000 0.000000 0.022188 100.000000 0.000000 0.040701 100.000000 0.000000 0.028778 100.000000 0 0 -22394 -671 22404.050781 0.000000 0.078513 100.000000
879781 0 -2027 100.000000 0.000000 0.005205 100.000000 0.000000 0.050278 100.000000 0.000000 0.020251 100.000000 0 0 -24415 -830 24429.103516 0.000000 0.083718 100.000000
880552 0 -6069 100.000000 0.000000 0.014895 100.000000 0.000000 0.019154 100.000000 0.000000 0.019319 100.000000 0 0 -30463 -1337 30492.326172 0.000000 0.098612 100.000000
880809 0 -2021 100.000000 0.000000 0.005136 100.000000 0.000000 0.026336 100.000000 0.000000 0.019985 100.000000 0 0 -32474 -1536 32510.306641 0.000000 0.103749 100.000000
881580 0 -6027 100.000000 0.000000 0.019928 100.000000 0.000000 0.062249 100.000000 0.000000 0.025847 100.000000 0 0 -38468 -2160 38528.593750 0.000000 0.123676 100.000000
881837 0 -2010 100.000000 0.000000 0.006882 100.000000 0.000000 -0.011971 100.000000 0.000000 0.026779 100.000000 0 0 -40462 -2408 40533.589844 0.000000 0.130559 100.000000
882865 0 -8024 100.000000 0.000000 0.028625 100.000000 0.000000 0.014365 100.000000 0.000000 0.027845 100.000000 0 0 -48417 -3453 48539.972656 0.000000 0.159184 100.000000
883122 0 -2002 100.000000 0.000000 0.006848 100.000000 0.000000 0.052672 100.000000 0.000000 0.026646 100.000000 0 0 -50394 -3770 50534.820313 0.000000 0.166032 100.000000
883893 0 -5990 100.000000 0.000000 0.014586 100.000000 0.000000 0.028730 100.000000 0.000000 0.018919 100.000000 0 0 -56302 -4760 56502.855469 0.000000 0.180618 100.000000
884150 0 -1991 100.000000 0.000000 0.006882 100.000000 0.000000 0.086191 100.000000 0.000000 0.026779 100.000000 0 0 -58261 -5118 58485.367188 0.000000 0.187501 100.000000
884921 0 -5956 100.000000 0.000000 0.019517 100.000000 0.000000 0.028730 100.000000 0.000000 0.025314 100.000000 0 0 -64113 -6228 64414.789063 0.000000 0.207018 100.000000
885949 0 -7906 100.000000 0.000000 0.026571 100.000000 0.000000 0.033519 100.000000 0.000000 0.025847 100.000000 0 0 -71850 -7853 72277.875000 0.000000 0.233588 100.000000
886977 52 -7112 13776.220703 0.042913 0.094778 120.861580 0.049206 0.751779 1427.823730 0.041744 0.092196 120.861603 52 0 -78768 -9499 79390.320313 0.042913 0.328366 665.196045
888262 71 -7794 11078.114258 0.000000 0.030303 Infinity 0.003634 0.663194 18151.373047 0.000000 0.023582 100.000000 123 3 -86146 -12013 87101.804688 0.042913 0.358669 735.811157
888519 62 -1560 2615.872803 -0.010000 0.002294 122.941086 0.723705 -0.014365 101.984955 -0.038911 0.008926 122.941086 185 6 -87607 -12561 88686.890625 0.032913 0.360963 996.729919
889290 76 -4675 6251.648926 -0.010000 0.028659 386.592377 -0.185048 0.007183 103.881477 -0.012970 0.037172 386.592377 261 9 -91981 -14212 93331.789063 0.022913 0.389622 1600.467896
890318 73 -5639 7824.774414 0.025000 0.048211 92.842079 -0.026811 0.562637 2198.539063 0.024319 0.046897 92.842094 334 11 -97197 -16354 98894.437500 0.047913 0.437832 813.814148
890575 69 -1394 2119.770264 -0.010000 -0.003150 68.498802 0.768369 0.244209 68.217278 -0.038911 -0.012257 68.498802 403 14 -98459 -16945 100306.046875 0.037913 0.434682 1046.536865
891346 78 -4188 5469.282715 0.000000 0.021366 Infinity -0.217011 -0.011971 94.483673 0.000000 0.027712 100.000000 481 17 -102258 -18709 104431.625000 0.037913 0.456048 1102.892822
