t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
4746580 61 2084 3316.234863 -0.007562 0.004999 166.108353 0.615704 -0.591368 196.047348 -0.029424 0.019452 166.108353 10093 -490 262349 145442 291426.21875 0.451799 0.98633 118.311462
4747608 70 7488 10597.15918 0.007554 0.028214 273.50116 -0.16465 -0.802058 387.127289 0.007348 0.027446 273.501099 10156 -459 266481 151687 298078.6875 0.459353 1.014544 120.863533
4748636 53 7202 13488.875 0 0.028762 Infinity -0.016087 -0.270545 1581.80835 0 0.027979 100 10204 -436 270284 157803 304435.84375 0.459353 1.043306 127.124939
4748893 64 1757 2645.126221 0.022677 0.012292 45.794315 0.768369 -0.6608 186.000305 0.088238 0.04783 45.794312 10261 -408 271168 159321 305918 0.48203 1.055598 118.989929
4750949 65 14025 21476.435547 -0.045 -0.157232 249.404602 -0.105745 -0.007183 93.207642 -0.021887 -0.076475 249.404602 10319 -378 278078 171525 318191.03125 0.43703 0.898366 105.561432
4751206 52 1772 3308.11499 -0.029241 -0.022736 66.641434 0.66428 0.289698 56.389088 -0.265196 -0.088466 155.327072 10366 -356 279182 172911 319817.90625 0.407789 0.87563 114.72628
4752234 74 6947 9288.094727 0 0.018216 Infinity -0.1268 -0.134075 5.737767 0 0.01772 100 10434 -327 283632 178246 326382.40625 0.407789 0.893846 119.193268
4752491 71 1731 2337.952881 0 0.009895 Infinity 0.794864 -0.088585 111.144722 0 0.038504 100 10499 -299 284716 179595 327958.5625 0.407789 0.903742 121.619888
4753262 59 5043 8448.140625 0.015 0.018182 21.211107 -0.259067 -0.251391 2.96284 0.019455 0.023582 21.211109 10553 -276 287836 183557 332686.6875 0.422789 0.921923 118.05751
4753519 61 1646 2598.147949 0.007562 0.007362 2.648665 0.625798 -0.533907 185.316177 0.029424 0.028645 2.648661 10609 -251 288831 184868 334180.375 0.430351 0.929285 115.936516
4754547 67 6338 9359.785156 -0.007556 -0.003561 52.874268 -0.167489 -0.232238 38.65815 -0.007351 -0.003464 52.874268 10670 -223 292624 189946 340091.625 0.422795 0.925724 118.953575
4754804 65 1607 2372.990234 -0.015 -0.002568 82.879784 0.730518 0.347159 52.47768 -0.058366 -0.009992 82.879791 10729 -196 293590 191230 341546.875 0.407795 0.923156 126.37764
4755575 59 4286 7164.03418 0.015 0.00945 36.997612 -0.228786 -0.902614 294.522644 0.019455 0.012257 36.997612 10783 -173 296176 194648 345549.40625 0.422795 0.932606 120.581398
4755832 64 1428 2131.436035 -0.007559 -0.000137 98.18811 0.671219 -0.007183 101.070084 -0.029413 -0.000533 98.18811 10841 -147 297027 195795 346836.6875 0.415236 0.932469 124.563934
4756603 67 4136 6073.646484 0.007556 0.000103 98.640602 -0.210282 -0.248997 18.411205 0.009801 0.000133 98.640602 10902 -120 299492 199117 350684.4375 0.422792 0.932572 120.574692
4756860 64 1328 1974.783936 -0.007559 -0.002191 71.009766 0.630845 -0.770933 222.206451 -0.029413 -0.008527 71.009773 10960 -94 300283 200183 351878.78125 0.415233 0.930381 124.06237
4757631 65 3927 5941.010254 0 0.016025 Infinity -0.213646 -0.095768 55.174435 0 0.020784 100 11019 -68 302629 203332 355538.96875 0.415233 0.946405 127.921547
4757888 73 1298 1677.613647 0.007552 0.002671 64.63385 0.777201 -0.169988 121.871864 0.029384 0.010392 64.633858 11086 -39 303388 204385 356692.65625 0.422785 0.949076 124.48214
4758916 64 4712 7263.176758 -0.007559 0.021777 388.090424 -0.215749 -0.452504 109.736458 -0.007353 0.021184 388.090424 11144 -13 306133 208216 361078.6875 0.415226 0.970853 133.81337
4759944 61 4854 7857.576172 0.007562 0.034377 354.608093 -0.002839 0.134075 4822.95459 0.007356 0.033441 354.608124 11200 12 308874 212222 365572 0.422788 1.00523 137.762512
4760201 59 1173 1887.412598 0 0.002534 Infinity 0.662387 -0.620098 193.615692 0 0.009859 100 11254 36 309502 213212 366600.4375 0.422788 1.007764 138.361816
4760972 61 3649 5881.40332 -0.007562 0.016333 315.984131 -0.195141 0.220267 212.875412 -0.009808 0.021184 315.9841 11310 61 311449 216297 369920.84375 0.415226 1.024097 146.63623
4761229 61 1189 1849.730835 0.007562 0.006745 10.799006 0.615704 -0.407014 166.105469 0.029424 0.026247 10.799003 11366 86 312067 217313 370956.40625 0.422788 1.030842 143.820343
4762000 58 3562 6041.921387 0.007565 0.020339 168.846436 -0.210282 -0.009577 95.445724 0.009812 0.02638 168.84642 11419 110 313898 220369 374175.84375 0.430353 1.051181 144.260269
4762257 59 1145 1840.776245 0.015 0.009964 33.573566 0.600564 -0.641646 206.840546 0.058366 0.03877 33.57357 11473 135 314467 221363 375162.875 0.445353 1.061145 138.270599
4763028 76 3280 4215.847168 0.00755 0.027529 264.642578 -0.169908 -0.260968 53.59412 0.009792 0.035706 264.642548 11542 168 316067 224226 378070.71875 0.452903 1.088674 140.377182
4763285 70 1136 1522.920654 0.007554 0.006574 12.97061 0.676266 0.646434 4.411153 0.029393 0.02558 12.970609 11605 199 316594 225233 379023.21875 0.460456 1.095248 137.86145
4764056 52 3368 6377.468262 -0.007573 0.011608 253.278595 -0.265796 -0.067038 74.778526 -0.009822 0.015055 253.278595 11652 222 318136 228228 381993.6875 0.452884 1.106856 144.40184
4764313 58 1152 1886.234619 -0.007565 -0.000651 91.400536 0.615704 0.442927 28.061699 -0.029437 -0.002531 91.400536 11704 247 318651 229258 382965.40625 0.445318 1.106205 148.40773
4765084 73 3765 5057.377441 0.007552 0.017257 128.519684 -0.169908 0.519542 405.779114 0.009795 0.022383 128.519684 11770 278 320338 232624 386262.6875 0.45287 1.123463 148.076111
4766112 65 5422 8241.755859 -0.03 -0.014929 50.237244 -0.030596 0.380678 1344.209717 -0.029183 -0.014522 50.237244 11828 306 322683 237513 391021.71875 0.42287 1.108534 162.145203
