t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
197084591 0 -41709 100.000000 0.000000 0.018519 100.000000 0.000000 -0.119710 Infinity 0.000000 0.018519 100.000000 0 0 -41709 0 41709.000000 0.000000 0.018519 100.000000
197085591 0 -41829 100.000000 0.000000 0.018919 100.000000 0.000000 -0.119710 Infinity 0.000000 0.018919 100.000000 0 0 -83531 -775 83534.593750 0.000000 0.037438 100.000000
197086591 0 -41915 100.000000 0.000000 0.019585 100.000000 0.000000 -0.086191 Infinity 0.000000 0.019585 100.000000 0 0 -125417 -2344 125438.906250 0.000000 0.057023 100.000000
197087591 0 -42064 100.000000 0.000000 0.018119 100.000000 0.000000 -0.148441 Infinity 0.000000 0.018119 100.000000 0 0 -167412 -4741 167479.109375 0.000000 0.075142 100.000000
197088591 0 -42088 100.000000 0.000000 0.019585 100.000000 0.000000 -0.023942 Infinity 0.000000 0.019585 100.000000 0 0 -209381 -7901 209530.015625 0.000000 0.094727 100.000000
197089591 0 -42191 100.000000 0.000000 0.018786 100.000000 0.000000 -0.102951 Infinity 0.000000 0.018786 100.000000 0 0 -251383 -11892 251664.125000 0.000000 0.113513 100.000000
197090591 0 -42248 100.000000 0.000000 0.019851 100.000000 0.000000 -0.057461 Infinity 0.000000 0.019851 100.000000 0 0 -293359 -16677 293832.625000 0.000000 0.133364 100.000000
197091591 0 -42394 100.000000 0.000000 0.018119 100.000000 0.000000 -0.146046 Infinity 0.000000 0.018119 100.000000 0 0 -335377 -22314 336118.500000 0.000000 0.151484 100.000000
197092591 0 -42485 100.000000 0.000000 0.019185 100.000000 0.000000 -0.090980 Infinity 0.000000 0.019185 100.000000 0 0 -377376 -28725 378467.656250 0.000000 0.170669 100.000000
197093591 0 -42591 100.000000 0.000000 0.017187 100.000000 0.000000 -0.105345 Infinity 0.000000 0.017187 100.000000 0 0 -419348 -35959 420886.906250 0.000000 0.187856 100.000000
197094591 0 -42703 100.000000 0.000000 0.018386 100.000000 0.000000 -0.112527 Infinity 0.000000 0.018386 100.000000 0 0 -461300 -43934 463387.406250 0.000000 0.206242 100.000000
197095591 0 -42768 100.000000 0.000000 0.020518 100.000000 0.000000 -0.064643 Infinity 0.000000 0.020518 100.000000 0 0 -503161 -52692 505912.468750 0.000000 0.226760 100.000000
197096591 0 -42885 100.000000 0.000000 0.018386 100.000000 0.000000 -0.117316 Infinity 0.000000 0.018386 100.000000 0 0 -544948 -62333 548501.312500 0.000000 0.245146 100.000000
197097591 0 -43021 100.000000 0.000000 0.018786 100.000000 0.000000 -0.136469 Infinity 0.000000 0.018786 100.000000 0 0 -586683 -72774 591179.312500 0.000000 0.263931 100.000000
197098591 0 -43117 100.000000 0.000000 0.020118 100.000000 0.000000 -0.095768 Infinity 0.000000 0.020118 100.000000 0 0 -628307 -84022 633900.125000 0.000000 0.284049 100.000000
197099591 0 -43237 100.000000 0.000000 0.018786 100.000000 0.000000 -0.119710 Infinity 0.000000 0.018786 100.000000 0 0 -669811 -96139 676675.312500 0.000000 0.302835 100.000000
197100591 0 -43314 100.000000 0.000000 0.019718 100.000000 0.000000 -0.076614 Infinity 0.000000 0.019718 100.000000 0 0 -711154 -109056 719467.312500 0.000000 0.322553 100.000000
197101591 0 -43412 100.000000 0.000000 0.020518 100.000000 0.000000 -0.098162 Infinity 0.000000 0.020518 100.000000 0 0 -752327 -122817 762286.000000 0.000000 0.343070 100.000000
197102591 0 -43448 100.000000 0.000000 0.019985 100.000000 0.000000 -0.035913 Infinity 0.000000 0.019985 100.000000 0 0 -793243 -137432 805060.250000 0.000000 0.363055 100.000000
197103591 0 -43551 100.000000 0.000000 0.017986 100.000000 0.000000 -0.102951 Infinity 0.000000 0.017986 100.000000 0 0 -833955 -152898 847855.375000 0.000000 0.381041 100.000000
197104591 0 -43658 100.000000 0.000000 0.021051 100.000000 0.000000 -0.107739 Infinity 0.000000 0.021051 100.000000 0 0 -874482 -169134 890688.000000 0.000000 0.402092 100.000000
197105591 0 -43728 100.000000 0.000000 0.019185 100.000000 0.000000 -0.069432 Infinity 0.000000 0.019185 100.000000 0 0 -914722 -186247 933490.375000 0.000000 0.421277 100.000000
197106591 0 -43795 100.000000 0.000000 0.017187 100.000000 0.000000 -0.067038 Infinity 0.000000 0.017187 100.000000 0 0 -954688 -204156 976272.937500 0.000000 0.438464 100.000000
