t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
199336591 0 0 871 3325 1887 3325 2100 0.562637 0.083797 10.934319 0.006795 -0.048896 -0.018652
199337591 0 0 871 3325 1970 3325 2191 0.557849 0.155623 10.912771 0.009726 -0.049029 -0.019319
199338591 0 0 854 3325 1970 3325 2012 0.565032 0.040701 11.015722 0.013323 -0.052227 -0.018253
199339591 0 0 871 3325 1928 3325 2100 0.588974 0.114922 10.919953 0.008793 -0.048763 -0.018919
199340591 0 0 822 3325 1887 3325 2056 0.505177 0.086191 10.915165 0.003997 -0.049962 -0.017720
199341591 0 0 838 3325 1970 3325 1928 0.617704 0.124498 10.807426 0.011058 -0.051161 -0.020784
199342591 0 0 791 3325 1970 3325 2100 0.603339 0.112527 10.946290 0.017587 -0.055025 -0.015988
199343591 0 0 791 3325 2056 3325 2100 0.550666 0.143652 10.936713 0.012124 -0.051427 -0.020518
199344591 0 0 888 3325 1928 3325 2100 0.550666 0.134075 10.850522 0.007194 -0.049828 -0.020518
199345591 0 0 871 3325 1970 3325 2012 0.574608 0.100556 10.874464 0.011591 -0.050894 -0.017986
199346591 0 0 822 3325 1928 3325 2145 0.550666 0.076614 10.953472 0.012657 -0.054492 -0.017320
199347591 0 0 854 3325 1970 3325 2056 0.577003 0.122104 10.888829 0.015988 -0.055957 -0.017320
199348591 0 0 838 3325 1970 3325 2012 0.572214 0.112527 10.893618 0.013323 -0.051028 -0.020251
199349591 0 0 822 3325 1928 3325 2100 0.521936 0.208296 10.898406 0.012124 -0.048230 -0.019851
199350591 0 0 838 3325 2012 3325 2012 0.579397 0.124498 10.843339 0.007994 -0.051294 -0.018386
199351591 0 0 806 3325 1970 3325 2100 0.581791 0.083797 10.946290 0.010792 -0.049695 -0.017986
199352591 0 0 791 3325 1970 3325 2100 0.577003 0.186748 10.951078 0.008260 -0.050628 -0.017720
199353591 0 0 871 3325 1970 3325 2100 0.577003 0.167594 10.929530 0.000933 -0.053692 -0.014123
199354591 0 0 777 3325 1970 3325 2100 0.610521 0.134075 10.927136 0.010658 -0.053026 -0.017054
199355591 0 0 888 3325 1970 3325 2012 0.541090 0.177171 10.963049 0.008793 -0.052227 -0.021317
199356591 0 0 791 3325 1970 3325 2100 0.593762 0.138864 10.788273 0.014522 -0.050361 -0.020384
199357591 0 0 735 3325 1928 3325 2012 0.581791 0.124498 10.893618 0.014522 -0.047297 -0.020651
199358591 0 0 822 3325 1887 3325 2100 0.596156 0.081403 10.852916 0.010259 -0.054758 -0.019718
199359591 0 0 854 3325 1970 3325 2100 0.553061 0.088585 10.884041 0.011325 -0.055158 -0.017054
199360591 0 0 871 3325 1970 3325 1970 0.615310 0.069432 10.896011 0.011058 -0.048363 -0.019985
199361591 0 0 888 3325 1970 3325 2100 0.500388 0.045490 10.869676 0.009193 -0.053292 -0.018253
199362591 0 0 871 3325 1970 3325 2100 0.553061 0.155623 10.917560 0.006928 -0.052493 -0.017453
199363591 0 0 854 3325 1970 3325 2100 0.596156 0.076614 10.934319 0.015322 -0.054492 -0.019319
199364591 0 0 777 3325 1970 3325 2056 0.562637 0.136469 10.843339 0.014123 -0.052093 -0.018652
199365591 0 0 822 3325 1887 3325 1970 0.531513 0.028730 10.860099 0.008660 -0.049828 -0.017054
199366591 0 0 871 3325 2012 3325 2100 0.524330 0.019154 10.900800 0.014655 -0.049162 -0.017054
199367591 0 0 838 3325 1970 3325 2012 0.490811 0.102951 10.852916 0.013989 -0.051960 -0.017587
199368591 0 0 838 3325 2012 3325 2100 0.632069 0.119710 10.924742 0.007727 -0.050361 -0.019718
199369591 0 0 822 3325 1970 3325 2012 0.605733 0.102951 10.828974 0.009459 -0.052093 -0.019985
199370591 0 0 888 3325 2012 3325 2056 0.586579 0.237026 10.941502 0.007461 -0.047697 -0.017187
199371591 0 0 838 3325 1970 3325 2100 0.562637 0.162806 10.931925 0.010525 -0.049429 -0.020917
