t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
201410591 0 0 52 1 27 1 23 1056 452 18132 95 -369 -137  11650
201411591 0 0 51 1 28 1 22 1012 352 18240 95 -398 -131  
201412591 0 0 55 1 27 1 22 972 432 18228 68 -393 -134  1708.6666666667
201413591 0 0 54 1 27 1 23 1140 328 18108 95 -380 -156  
201414591 0 0 53 1 29 1 23 1024 352 18136 73 -386 -145  
201415591 0 0 49 1 26 1 25 1060 452 18256 68 -376 -144  
201416591 0 0 54 1 28 1 22 1084 320 18104 53 -382 -153  
201417591 0 30 52 1 27 1 23 992 372 18040 72 -387 -163  
201418591 21 56 46 1 29 1 23 1104 1552 17724 115 -413 -199  
201419591 24 56 57 1 26 1 22 260 1584 19028 42 -443 -58  
201420591 25 55 55 1 25 1 20 1796 -1420 17632 94 -382 -111  
201421591 24 56 54 1 28 1 23 1512 -1212 18516 137 -417 -201  
201422591 25 56 51 1 27 1 23 432 2160 17708 61 -447 -140  
201423591 26 56 52 1 29 1 23 312 1944 19392 -10 -399 -51  
201424591 26 57 58 1 24 1 20 1352 -1048 17252 129 -406 -157  
201425591 25 57 55 1 26 1 19 1512 -24 18608 115 -414 -245  
201426591 24 56 49 1 27 1 23 560 1588 17808 73 -345 -110  
201427591 25 57 57 1 30 1 23 876 1272 18440 1 -455 -71  
201428591 25 57 58 1 28 1 23 1480 -1112 17928 115 -364 -152  
201429591 25 56 52 1 27 1 23 1272 796 18024 195 -399 -166  
201430591 26 54 53 1 27 1 23 248 1920 18316 83 -457 -67  
201431591 26 54 52 1 27 1 22 1272 -432 17632 41 -326 -94  
201432591 25 53 55 1 26 1 20 1368 -208 18592 113 -327 -246  
201433591 24 54 57 1 28 1 19 836 652 17940 64 -343 -166  
201434591 24 54 52 1 27 1 23 360 2228 18844 90 -415 -35  
201435591 24 55 51 1 28 1 21 1480 -1032 17272 73 -367 -104  
201436591 24 54 55 1 26 1 23 1464 -832 18948 69 -403 -208  
201437591 25 54 52 1 27 1 25 1432 -512 18584 51 -388 -251  
201438591 26 54 56 1 28 1 21 556 1620 17960 70 -399 -94  
201439591 25 53 57 1 27 1 20 964 1688 18592 -14 -418 -72  
201440591 24 52 54 1 27 1 23 1392 -748 18020 84 -434 -149  
201441591 25 51 52 1 27 1 23 1900 -140 18124 137 -342 -209  
201442591 25 52 58 1 26 1 24 836 1468 18456 87 -391 -80  
201443591 24 52 52 1 27 1 21 1028 -144 17680 86 -449 -104  
201444591 25 53 54 1 27 1 23 1304 -1004 18664 54 -325 -221  
201445591 25 53 55 1 29 1 25 864 800 17884 88 -400 -125  
201446591 25 54 57 1 28 1 25 492 2556 19284 91 -421 -44  
201447591 22 53 57 1 27 1 20 1352 -920 17244 40 -411 -69  
201448591 23 55 52 1 27 1 23 1516 -296 18888 205 -364 -232  
201449591 23 53 52 1 27 1 23 724 2008 17116 119 -451 -132  
201450591 23 53 57 1 26 1 24 620 2056 18808 28 -492 -59  
201451591 25 52 57 1 28 1 22 1392 -1180 17340 51 -380 -114  
201452591 24 52 48 1 27 1 22 1532 -1316 18628 94 -352 -235  
201453591 26 52 57 1 27 1 23 372 2328 17760 96 -380 -113  
201454591 24 52 53 1 29 1 23 844 1056 18564 39 -397 -75  
201455591 24 53 49 1 27 1 23 1176 -304 17844 44 -422 -74  
201456591 24 53 54 1 27 1 20 1512 -492 18656 141 -340 -202  
201457591 24 53 55 1 27 1 23 752 508 17968 31 -354 -213  
201458591 24 53 57 1 27 1 23 276 2180 19028 88 -414 -60  
201459591 24 52 59 1 27 1 23 1396 -352 17220 62 -355 -114  
201460591 26 52 50 1 26 1 22 1396 -640 18960 69 -401 -188  
201461591 26 51 56 1 27 1 24 784 1724 17316 -34 -391 -187  
201462591 26 51 53 1 28 1 22 256 2204 18984 -9 -426 -65  
201463591 25 51 52 1 28 1 24 1520 -1100 17084 79 -391 -125  
201464591 26 51 58 1 27 1 25 1632 -972 19024 163 -331 -191  
201465591 25 52 52 1 27 1 26 356 1296 17568 113 -391 -125  
201466591 26 52 54 1 28 1 22 864 1096 18972 80 -372 -16  
201467591 27 52 54 1 27 1 24 1204 -788 17704 94 -379 -173  
201468591 27 53 54 1 25 1 25 1284 -628 18336 21 -313 -242  
201469591 27 52 57 1 27 1 23 484 2396 18008 133 -428 -64  
201470591 25 53 52 1 27 1 27 1476 72 18124 98 -335 -86  
201471591 25 52 52 1 27 1 23 1444 -608 18788 124 -402 -195  
201472591 26 52 49 1 26 1 20 1064 140 18240 93 -303 -201  
201473591 26 51 54 1 26 1 23 344 1428 17580 107 -445 -144  
201474591 26 51 48 1 29 1 22 460 2176 19604 95 -402 -47  
201475591 27 52 56 1 26 1 20 1956 -1096 17144 63 -403 -149  
201476591 27 53 54 1 27 1 23 1680 -944 18936 88 -328 -221  
201477591 26 54 54 1 28 1 25 256 1260 17616 79 -383 -135  
201478591 26 53 46 1 27 1 25 612 1656 19508 24 -422 -26  
201479591 26 54 57 1 27 1 21 1544 -804 17732 136 -359 -151  
201480591 26 54 54 1 27 1 20 1448 -312 18360 97 -382 -242  
