t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
514 0 -1 100.000000 0.000000 0.005547 100.000000 0.000000 -0.019154 100.000000 0.000000 0.021583 100.000000 0 0 -1 0 1.000000 0.000000 0.005547 100.000000
771 0 -6 100.000000 0.000000 0.005924 100.000000 0.000000 -0.064643 100.000000 0.000000 0.023049 100.000000 0 0 -7 0 7.000000 0.000000 0.011471 100.000000
1028 0 -9 100.000000 0.000000 0.006026 100.000000 0.000000 -0.050278 100.000000 0.000000 0.023449 100.000000 0 0 -16 0 16.000000 0.000000 0.017497 100.000000
1285 0 -13 100.000000 0.000000 0.006061 100.000000 0.000000 -0.062249 100.000000 0.000000 0.023582 100.000000 0 0 -29 0 29.000000 0.000000 0.023557 100.000000
1542 0 -15 100.000000 0.000000 0.004999 100.000000 0.000000 -0.028730 100.000000 0.000000 0.019452 100.000000 0 0 -44 0 44.000000 0.000000 0.028557 100.000000
1799 0 -16 100.000000 0.000000 0.005924 100.000000 0.000000 -0.021548 100.000000 0.000000 0.023049 100.000000 0 0 -60 0 60.000000 0.000000 0.034480 100.000000
2056 0 -17 100.000000 0.000000 0.006061 100.000000 0.000000 -0.011971 100.000000 0.000000 0.023582 100.000000 0 0 -77 -1 77.006493 0.000000 0.040541 100.000000
2313 0 -14 100.000000 0.000000 0.005958 100.000000 0.000000 0.052672 100.000000 0.000000 0.023182 100.000000 0 0 -91 -2 91.021973 0.000000 0.046498 100.000000
2570 0 -13 100.000000 0.000000 0.006334 100.000000 0.000000 0.002394 100.000000 0.000000 0.024648 100.000000 0 0 -104 -3 104.043259 0.000000 0.052833 100.000000
2827 0 -14 100.000000 0.000000 0.006129 100.000000 0.000000 -0.004788 100.000000 0.000000 0.023848 100.000000 0 0 -118 -4 118.067780 0.000000 0.058962 100.000000
3084 0 -9 100.000000 0.000000 0.007190 100.000000 0.000000 0.067038 100.000000 0.000000 0.027979 100.000000 0 0 -127 -5 127.098389 0.000000 0.066153 100.000000
3341 2 47 2272.019287 0.010000 0.048382 383.817261 0.030281 0.859518 2738.516602 0.038911 0.188256 383.817261 2 0 -80 -2 82.024384 0.010000 0.114534 1045.342407
3598 21 37 73.948051 0.050000 0.042732 14.535889 0.287665 -0.165200 157.427841 0.194553 0.166273 14.535885 23 0 -44 2 67.029846 0.060000 0.157266 162.110474
3855 40 12 68.768433 0.012658 -0.001233 109.737984 0.287665 -0.363919 226.507706 0.049254 -0.004796 109.737984 63 2 -32 4 95.021049 0.072658 0.156034 114.750114
4112 40 32 20.537376 -0.012658 -0.015682 23.888714 0.000000 0.292093 100.000000 -0.049254 -0.061020 23.888716 103 5 -1 9 104.076897 0.060000 0.140352 133.919174
4369 31 112 261.669159 -0.007623 0.005478 171.868088 -0.136262 1.216254 992.582153 -0.029661 0.021317 171.868088 134 7 110 25 30.000000 0.052377 0.145830 178.423416
4626 24 114 377.039429 -0.020000 -0.026605 33.024075 -0.105982 0.035913 133.885986 -0.077821 -0.103521 33.024071 158 8 223 42 73.355301 0.032377 0.119225 268.239685
4883 17 92 438.587860 -0.035000 -0.040917 16.906603 -0.105982 -0.347159 227.564575 -0.136187 -0.159211 16.906616 175 9 314 53 145.797806 -0.002623 0.078308 3085.496094
5140 19 94 393.546417 -0.028243 -0.009142 67.630501 0.030281 0.033519 10.694224 -0.109896 -0.035573 67.630508 194 9 407 60 219.020554 -0.030866 0.069166 324.082336
5397 25 124 397.807739 0.002551 0.012703 397.965393 0.090842 0.464475 411.301849 0.009926 0.049429 397.965424 219 8 531 69 317.907227 -0.028315 0.081869 389.134369
5654 29 109 277.341919 0.002544 0.006985 174.584610 0.060561 -0.227449 475.569733 0.009898 0.027179 174.584595 248 7 640 78 398.377960 -0.025771 0.088854 444.778503
5911 28 65 132.119019 0.002545 0.011710 360.044586 -0.015140 -0.672771 4343.582520 0.009904 0.045565 360.044586 276 6 705 84 436.033264 -0.023226 0.100564 532.983704
6168 27 49 82.733322 0.002547 0.009142 258.915771 -0.015140 -0.237026 1465.532837 0.009911 0.035573 258.915771 303 5 754 89 458.755920 -0.020679 0.109706 630.528687
6425 26 103 294.728333 0.000000 0.004212 Infinity -0.015140 0.806846 5429.136719 0.000000 0.016387 100.000000 329 4 856 100 535.672485 -0.020679 0.113918 650.895447
6682 26 203 682.158142 0.000000 0.006745 Infinity 0.000000 1.525106 100.000000 0.000000 0.026247 100.000000 355 3 1058 123 713.168274 -0.020679 0.120663 683.515381
6939 26 171 559.299683 0.000000 0.012292 Infinity 0.000000 -0.483629 100.000000 0.000000 0.047830 100.000000 381 2 1228 144 858.820679 -0.020679 0.132956 742.959717
7196 26 155 496.045776 0.002549 0.009895 288.207428 0.000000 -0.248997 100.000000 0.009918 0.038504 288.207489 407 1 1382 165 988.696594 -0.018130 0.142851 887.941284
7453 26 161 520.982483 -0.002549 0.002568 200.745895 0.000000 0.098162 100.000000 -0.009918 0.009992 200.745895 433 1 1542 188 1124.655518 -0.020679 0.145419 803.232117
7710 27 154 471.627380 0.002547 0.008903 249.505997 0.015140 -0.107739 811.605835 0.009911 0.034640 249.505997 460 0 1695 210 1252.727051 -0.018132 0.154322 951.123901
7967 27 166 513.796631 -0.002547 0.006403 351.375488 0.000000 0.172383 100.000000 -0.009911 0.024914 351.375458 487 0 1859 235 1391.980225 -0.020679 0.160725 877.247803
8224 27 137 407.787811 0.000000 0.013217 Infinity 0.000000 -0.433351 100.000000 0.000000 0.051427 100.000000 514 -1 1994 257 1502.319580 -0.020679 0.173941 941.162964
8481 26 133 411.504608 0.002549 0.005239 105.521599 -0.015140 -0.062249 311.149994 0.009918 0.020384 105.521606 540 -2 2125 280 1609.890991 -0.018130 0.179180 1088.326050
8738 25 145 478.140106 0.000000 0.007362 Infinity -0.015140 0.174777 1254.382690 0.000000 0.028645 100.000000 565 -2 2267 306 1729.643921 -0.018130 0.186542 1128.931885
8995 26 169 549.568359 0.000000 0.006026 Infinity 0.015140 0.368707 2335.273193 0.000000 0.023449 100.000000 591 -2 2433 337 1872.934814 -0.018130 0.192568 1162.171875
9252 27 198 632.690430 -0.002547 0.004383 272.064484 0.015140 0.438139 2793.863525 -0.009911 0.017054 272.064484 618 -2 2627 375 2044.067017 -0.020677 0.196951 1052.520142
9509 28 150 434.269043 -0.002545 0.008320 426.873779 0.015140 -0.730232 4923.105957 -0.009904 0.032375 426.873779 646 -3 2774 404 2166.571777 -0.023222 0.205271 983.941284
9766 27 99 268.395081 0.002547 0.007567 197.080093 -0.015140 -0.758962 4912.867188 0.009911 0.029444 197.080109 673 -4 2871 424 2239.282959 -0.020675 0.212839 1129.442871
10023 25 167 569.225708 0.005000 0.008594 71.886948 -0.030281 1.027112 3491.987549 0.019455 0.033441 71.886955 698 -5 3035 459 2382.617188 -0.015675 0.221433 1512.639282
10280 25 152 509.767090 0.000000 0.007464 Infinity 0.000000 -0.225055 100.000000 0.000000 0.029044 100.000000 723 -5 3184 492 2510.683105 -0.015675 0.228897 1560.258911
10537 26 111 325.747070 -0.002549 0.002226 187.313110 0.015140 -0.632069 4274.753906 -0.009918 0.008660 187.313110 749 -5 3292 517 2596.022461 -0.018224 0.231123 1368.224243
10794 27 24 10.976078 0.000000 0.006369 Infinity 0.015140 -1.312023 8765.777344 0.000000 0.024781 100.000000 776 -5 3315 523 2593.319336 -0.018224 0.237492 1403.170898
11051 27 -19 171.453430 0.000000 0.003321 Infinity 0.000000 -0.656011 100.000000 0.000000 0.012923 100.000000 803 -5 3296 518 2547.268799 -0.018224 0.240813 1421.395630
11308 26 41 56.918156 0.000000 0.000616 Infinity -0.015140 0.909797 6109.115234 0.000000 0.002398 100.000000 829 -5 3336 528 2563.032959 -0.018224 0.241429 1424.777588
11565 26 14 46.477562 0.000000 0.004725 Infinity 0.000000 -0.407014 100.000000 0.000000 0.018386 100.000000 855 -5 3350 531 2551.925049 -0.018224 0.246154 1450.705688
11822 26 -18 169.335999 0.002549 0.003869 51.790451 0.000000 -0.483629 100.000000 0.009918 0.015055 51.790462 881 -5 3333 527 2509.049316 -0.015675 0.250024 1695.035156
12079 27 -28 202.494720 -0.002547 0.003150 223.671371 0.015140 -0.146046 1064.621216 -0.009911 0.012257 223.671371 908 -5 3306 520 2454.797119 -0.018222 0.253174 1489.363037
