t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
727237 0 0 37 1 102 56 68 0 -92 0 0 0 -191
728237 0 0 38 2 102 56 69 0 -140 0 0 0 -132
729237 0 0 37 22 102 57 68 0 -108 0 0 0 -198
730237 0 0 39 1 102 56 69 0 -124 0 0 0 -165
731237 0 0 40 2 103 57 70 0 -164 0 0 0 -176
732237 0 0 40 1 103 56 69 0 -176 0 0 0 -164
733237 0 0 38 5 102 56 68 0 -100 0 0 0 -192
734237 0 0 41 1 102 56 69 0 -172 0 0 0 -154
735237 0 0 37 2 102 56 68 0 -100 0 0 0 -152
736237 0 0 38 1 101 56 68 0 -152 0 0 0 -192
737237 0 0 38 2 104 57 69 0 -160 0 0 0 -163
738237 0 0 40 1 102 56 70 0 -212 0 0 0 -144
739237 0 0 39 1 101 56 68 0 -168 0 0 0 -187
740237 0 0 41 3 103 57 71 0 -96 0 0 0 -148
741237 0 0 38 2 103 56 69 0 -152 0 0 0 -182
742237 0 0 41 1 102 56 69 0 -96 0 0 0 -186
743237 0 0 37 1 103 57 68 0 -196 0 0 0 -196
744237 0 0 39 94 102 61 69 0 -152 0 0 0 -192
745237 0 0 38 5 101 56 68 0 -132 0 0 0 -185
746237 0 0 36 65 102 60 69 0 -76 0 0 0 -164
747237 0 0 40 61 102 59 67 0 120 0 0 0 -83
748237 -5 0 46 43 102 58 70 0 1480 0 0 0 566
749237 -30 -15 45 1 96 55 71 0 -1200 0 0 0 717
750237 -39 -34 32 2 89 52 71 0 -1000 0 0 0 -124
751237 -37 -38 53 4 85 51 73 0 -548 0 0 0 -420
752237 -30 -32 51 1 78 49 72 0 604 0 0 0 -451
753237 -22 -25 49 19 74 49 73 0 384 0 0 0 -471
754237 -5 -5 44 26 74 50 72 0 188 0 0 0 -168
755237 0 -1 43 13 74 48 72 0 -192 0 0 0 -154
756237 0 0 45 16 78 49 73 0 -224 0 0 0 -154
757237 0 0 45 24 74 49 73 0 -196 0 0 0 -143
758237 0 0 44 24 74 49 73 0 -224 0 0 0 -166
759237 0 0 45 16 74 49 72 0 -264 0 0 0 -145
760237 0 0 43 8 73 48 72 0 468 0 0 0 -172
761237 -10 -1 41 23 73 49 75 0 1408 0 0 0 528
762237 -28 -21 44 50 71 51 75 0 -900 0 0 0 446
763237 -38 -32 33 1 66 44 75 0 -1752 0 0 0 106
764237 -34 -33 27 1 64 43 77 0 -48 0 0 0 -229
765237 -27 -29 34 1 61 41 77 0 780 0 0 0 -225
766237 -24 -24 21 1 60 41 77 0 -44 0 0 0 -201
767237 -22 -24 66 1 58 40 77 0 -828 0 0 0 -429
768237 -22 -24 53 1 56 39 77 0 -468 0 0 0 -381
769237 -24 -25 54 1 54 38 77 0 988 0 0 0 -183
770237 -26 -25 49 1 51 37 76 0 624 0 0 0 -28
771237 -25 -26 56 3 53 37 79 0 -1204 0 0 0 -202
772237 -25 -25 100 2 50 35 79 0 -528 0 0 0 -308
773237 -25 -25 91 1 48 35 79 0 468 0 0 0 -303
774237 -25 -26 93 2 47 34 80 0 676 0 0 0 -210
775237 -26 -25 101 2 45 34 78 0 856 0 0 0 -43
776237 -26 -26 98 1 45 33 78 0 56 0 0 0 -309
777237 -25 -26 99 1 44 32 79 0 -1408 0 0 0 -323
778237 -24 -25 101 2 43 31 79 0 424 0 0 0 -284
779237 -26 -26 103 1 40 31 79 0 600 0 0 0 -84
780237 -25 -24 103 1 41 31 80 0 172 0 0 0 -380
781237 -24 -22 105 3 43 30 81 0 -532 0 0 0 105
782237 -24 -23 112 1 39 30 82 0 -1108 0 0 0 -139
783237 -27 -27 97 1 37 28 81 0 672 0 0 0 -285
784237 -27 -27 89 1 38 29 81 0 340 0 0 0 -216
785237 -27 -29 37 1 36 27 83 0 -264 0 0 0 -379
786237 -25 -26 48 1 35 27 81 0 -932 0 0 0 -302
787237 -23 -24 143 1 34 26 82 0 744 0 0 0 -221
788237 -25 -23 115 1 34 26 83 0 52 0 0 0 -32
789237 -24 -24 110 1 34 26 82 0 -196 0 0 0 -236
790237 -26 -26 112 2 33 25 84 0 -940 0 0 0 -257
791237 -24 -24 112 1 32 25 84 0 -76 0 0 0 -234
792237 -26 -25 78 2 33 25 85 0 324 0 0 0 -7
793237 -25 -24 113 1 32 26 84 0 -92 0 0 0 -108
794237 -24 -25 105 1 32 25 84 0 -1096 0 0 0 -254
795237 -26 -26 104 2 31 23 85 0 -864 0 0 0 -155
796237 -25 -25 91 1 31 24 85 0 416 0 0 0 -233
797237 -5 -6 82 1 31 24 84 0 -44 0 0 0 -199
798237 0 0 82 1 29 23 84 0 -320 0 0 0 -153
799237 0 0 84 1 29 23 84 0 -336 0 0 0 -149
800237 0 0 83 1 31 24 85 0 -228 0 0 0 -164
801237 0 0 81 1 29 22 84 0 -260 0 0 0 -188
802237 -1 0 83 2 30 23 84 0 -252 0 0 0 -182
803237 0 0 83 2 31 24 84 0 -236 0 0 0 -176
804237 0 0 83 1 29 22 84 0 -276 0 0 0 -170
805237 0 0 84 3 33 23 85 0 -308 0 0 0 -175
806237 0 0 82 1 31 24 83 0 -348 0 0 0 -197
807237 0 0 82 1 29 23 84 0 -240 0 0 0 -181
808237 0 0 84 1 29 22 85 0 -220 0 0 0 -212
809237 0 0 86 1 29 23 84 0 -236 0 0 0 -162
810237 0 -1 83 2 32 24 85 0 -264 0 0 0 -173
811237 0 0 83 1 31 24 84 0 -224 0 0 0 -141
812237 -5 0 81 1 31 24 84 0 -724 0 0 0 -165
813237 -7 -4 22 2 31 24 86 0 984 0 0 0 203
814237 -26 -20 32 2 33 25 88 0 1200 0 0 0 487
815237 -36 -32 28 1 31 24 87 0 -140 0 0 0 129
816237 -34 -33 28 1 32 25 89 0 -1928 0 0 0 -178
817237 -29 -29 27 1 31 24 88 0 268 0 0 0 -397
818237 -25 -26 22 1 29 22 89 0 1264 0 0 0 -287
819237 -5 -6 22 1 31 24 90 0 260 0 0 0 -255
820237 -1 0 22 1 29 22 90 0 -272 0 0 0 -159
821237 0 0 25 1 31 24 90 0 -292 0 0 0 -182
822237 0 0 21 1 30 24 90 0 700 0 0 0 -218
823237 -8 -7 22 1 30 24 90 0 472 0 0 0 283
824237 -28 -20 39 1 28 22 91 0 -856 0 0 0 512
