t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
1367321048653 29 32 11.454115 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1337 2099 8741 0 10294.264648 1.985269 0.000000 100.000000
1367321048753 29 32 11.660517 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1349 2072 8773 0 10331.895508 1.965674 0.000000 100.000000
1367321048853 29 32 11.866919 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1360 2045 8805 0 10368.666992 1.946079 0.000000 100.000000
1367321048953 29 33 12.073307 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1371 2018 8838 0 10406.536133 1.926485 0.000000 100.000000
1367321049053 29 33 12.279708 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1381 1991 8871 0 10443.542969 1.906890 0.000000 100.000000
1367321049153 29 33 12.486095 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1391 1964 8904 0 10480.664063 1.887295 0.000000 100.000000
1367321049253 29 33 12.692497 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1400 1936 8937 0 10516.732422 1.867701 0.000000 100.000000
1367321049353 29 33 12.898900 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1408 1908 8970 0 10551.935547 1.848106 0.000000 100.000000
1367321049453 29 33 13.105287 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1416 1880 9003 0 10587.254883 1.828511 0.000000 100.000000
1367321049553 29 33 13.311688 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1423 1852 9036 0 10621.703125 1.808917 0.000000 100.000000
1367321049653 29 33 13.518090 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1430 1824 9069 0 10656.264648 1.789322 0.000000 100.000000
1367321049753 29 33 13.724479 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1436 1796 9102 0 10689.951172 1.769727 0.000000 100.000000
1367321049853 29 33 13.930880 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1442 1768 9135 0 10723.747070 1.750133 0.000000 100.000000
1367321049953 29 33 14.137268 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1447 1739 9168 0 10756.501953 1.730538 0.000000 100.000000
1367321050053 29 33 14.343670 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1452 1710 9201 0 10789.370117 1.710943 0.000000 100.000000
1367321050153 29 33 14.550071 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1456 1681 9234 0 10821.361328 1.691349 0.000000 100.000000
1367321050253 29 33 14.756459 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1459 1652 9267 0 10852.473633 1.671754 0.000000 100.000000
1367321050353 29 33 14.962861 0.019595 -0.000000 100.000000 0.000000 0.005986 Infinity 0.195946 -0.000000 100.000000 -1462 1623 9300 0 10883.692383 1.652159 0.000000 100.000000
