t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
1367321048653 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321048753 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321048853 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321048953 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049053 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049153 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049253 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049353 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049453 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049553 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049653 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049753 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049853 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321049953 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050053 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050153 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050253 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050353 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050453 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050553 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050653 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050753 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
1367321050853 21 16 1181 3394 3394 3394 3394 0.000000 0.005986 0.000000 0.000000 0.000000 0.000000
