t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
1367016130379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016130979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016131979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016132979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016133979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016134979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016135979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016136979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016137979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016138979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016139979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016140979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016141979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016142979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016143979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016144979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016145979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016146979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016147979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016148979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016149979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016150979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016151979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016152979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016153979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016154979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016155979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016156979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016157979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016158979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016159979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016160979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016161979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016162979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163579 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163679 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163779 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163879 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016163979 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164079 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164179 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164279 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164379 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164479 20 15 50 0 0 0 0 0 0 0 0 0 0
1367016164579 20 15 50 0 0 0 0 0 0 0 0 0 0
