t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
1367016130379 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130479 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130579 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130679 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130779 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130879 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016130979 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131079 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131179 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131279 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131379 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131479 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131579 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131679 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131779 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131879 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016131979 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132079 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132179 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132279 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132379 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132479 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132579 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132679 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132779 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132879 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016132979 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133079 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133179 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133279 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133379 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133479 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133579 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133679 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133779 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133879 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016133979 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016134079 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016134179 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1367016134279 21 16 1181 3394 3394 3394 3394 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
