t t a_c omega_c Ax Ay Ay_media Az Gx Gy -Gz -Gz_media
249830355 0 0.95 -0.018627 0.725443 0.442927  10.297462 0.050628 -0.086467 -0.010925 
249830555 200 0 0 1.010353 0.107739  10.953472 0.047297 -0.071012 -0.062485 
249830755 400 0 0 -0.94571 -0.677559  8.664616 0.093928 0.050495 0.025847 -0.0158543333
249830955 600 -0.025 -0.037 0.964863 -0.488417 -0.1538275 11.235989 0.0433 -0.055424 -0.074743 -0.037127
249831155 800 0.025 0 0.797269 0.011971 -0.2615665 11.798626 0.019052 -0.030377 -0.054625 -0.034507
249831355 1000 -0.025 0.018878 -1.228225 -0.782904 -0.48422725 16.891092 0.002398 -0.140026 -0.005063 -0.0448103333
249831555 1200 0.025 0 0.169988 -0.505177 -0.44113175 10.82658 0.041701 -0.017986 -0.029844 -0.029844
249831755 1400 0 0 1.058237 -0.778116 -0.5135565 11.556811 0.036639 -0.032375 -0.03544 -0.023449
249831955 1600 -0.025 -0.018878 1.771709 -0.347159 -0.603339 5.784391 -0.011058 0.189322 -0.07834 -0.0478746667
249832155 1800 -0.05 -0.018617 -0.289698 -0.268151 -0.47465075 11.702858 -0.011325 -0.122173 -0.06515 -0.0596433333
249832355 2000 0.05 -0.037 1.09415 -0.205901 -0.39983175 10.764331 0.040636 -0.036106 -0.125904 -0.089798
249832555 2200 -0.025 0 -0.866701 0.205901 -0.1538275 12.430695 0.149219 -0.090597 -0.071945 -0.0876663333
249832755 2400 0.025 -0.018878 -0.086191 -0.184354 -0.11312625 9.440337 0.058089 -0.018652 -0.078473 -0.0921073333
249832955 2600 0 -0.018878 1.810017 -0.126893 -0.07781175 12.375628 0.001066 -0.112047 -0.055291 -0.0685696667
249833155 2800 0 -0.018878 -1.54426 1.683124 0.3944445 14.913482 -0.062219 0.003597 0.031309 -0.0341516667
249833355 3000 0 -0.018878 0.395043 2.786851 1.039682 13.60146 0.080871 0.055691 -0.105386 -0.0431226667
249833555 3200 0 -0.018878 0.593762 -0.079009 1.06601825 10.172963 0.012923 0.002265 -0.044233 -0.0394366667
249833755 3400 -0.05 -0.018617 0.512359 0.924162 1.328782 11.489774 0.005862 -0.017054 -0.074476 -0.0746983333
249833955 3600 0.025 0 0.766145 -0.253785 0.84455475 10.869676 0.009326 -0.044499 -0.053959 -0.057556
249834155 3800 0.025 -0.018878 -0.354342 0.612916 0.301071 11.643003 0.023449 -0.221297 -0.073144 -0.067193
249834355 4000 -0.025 -0.0375 1.173159 -1.189918 0.02334375 9.873688 0.043833 -0.017187 -0.088066 -0.071723
249834555 4200 0.025 -0.018878 0.675165 -0.246603 -0.2693475 11.092337 0.037038 0.003864 -0.046498 -0.069236
249834755 4400 -0.025 -0.0375 -0.773327 -0.416591 -0.310049 6.251261 0.08327 -0.024381 -0.020384 -0.0516493333
249834955 4600 0.025 -0.018878 0.471658 -0.73502 -0.647033 11.197681 0.035173 -0.04823 -0.077674 -0.0481853333
249835155 4800 0 -0.018878 0.45011 -0.059855 -0.36451725 10.297462 0.045032 -0.070746 -0.06062 -0.0528926667
249835355 5000 -0.025 0 2.796427 0.126893 -0.27114325 9.018958 0.011591 0.223695 -0.015988 -0.0514273333
249835555 5200 -0.025 -0.018617 0.687136 -0.203507 -0.21787225 10.94629 0.037971 -0.059554 -0.010525 -0.0290443333
