t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
4988147 0 0 1 63 25 2 69 1120 -144 18420 46 -414 -111
4988247 0 0 1 80 1 1 29 1020 -164 18112 80 -405 -114
4988347 0 0 16 69 60 4 71 1036 -96 18464 100 -427 -138
4988447 0 0 1 17 15 16 19 1120 -116 18264 85 -407 -120
4988547 0 -1 1 1 29 1 1 1084 -140 18172 94 -386 -113
4988647 -3 -11 6 68 67 76 50 1044 -188 18284 77 -399 -109
4988747 -3 -2 54 75 1 71 70 1012 -140 18400 123 -416 -117
4988847 3 -3 54 66 59 69 49 1012 -156 18112 130 -425 -129
4988947 3 -3 1 72 4 90 64 1012 -156 18304 99 -408 -102
4989047 -1 -3 1 4 1 53 55 1160 -172 18384 90 -451 -114
4989147 1 -5 28 74 59 72 40 1168 -12 18136 63 -415 -107
4989247 5 -6 28 64 69 70 9 1124 -152 18216 122 -420 -121
4989347 2 -2 1 76 66 67 60 1032 -100 18156 152 -407 -115
4989447 2 -5 4 69 61 71 66 1128 -76 18296 112 -422 -97
4989547 -1 -3 1 67 73 68 68 1068 -120 18284 96 -441 -114
4989647 0 -5 1 70 71 69 52 1200 -136 18228 53 -401 -122
4989747 3 -3 53 79 71 75 85 1144 -212 18392 135 -413 -104
4989847 1 -3 1 1 1 79 1 1100 -132 18332 83 -410 -134
4989947 1 -4 48 74 74 73 2 1052 -152 18228 100 -426 -109
4990047 2 -3 1 34 1 1 1 1036 -204 18232 112 -425 -108
4990147 2 -4 64 69 77 73 52 1044 -124 18320 83 -433 -121
4990247 1 -3 1 1 1 1 1 1072 -188 18240 72 -393 -97
4990347 0 -5 1 65 70 77 68 1012 -188 18392 95 -390 -120
4990447 -1 -3 1 65 68 79 65 1048 -160 18296 86 -378 -128
4990547 1 -3 15 68 58 74 72 1040 -172 18284 88 -414 -135
4990647 0 -2 1 66 65 71 67 1108 -104 18312 112 -412 -150
4990747 4 -4 2 84 59 68 71 1172 -156 18176 76 -420 -106
4990847 0 -2 72 71 55 68 70 1144 -208 18212 61 -380 -116
4990947 0 -4 31 70 60 56 68 1004 -172 18272 88 -402 -102
4991047 0 -4 1 21 64 73 88 1132 -92 18360 83 -425 -120
4991147 1 -3 60 62 66 48 70 1164 -212 17988 100 -423 -104
4991247 -1 -3 38 2 50 80 71 996 -136 18256 78 -372 -136
4991347 2 -2 58 67 14 58 68 1052 -200 18144 102 -389 -107
4991447 2 -4 41 80 1 63 57 1144 -208 18412 124 -432 -102
4991547 3 -3 34 1 63 3 64 1152 -196 18380 124 -421 -128
4991647 0 -4 16 66 64 1 73 1088 -188 18204 88 -414 -117
4991747 0 -2 17 65 69 69 71 1100 -144 18392 79 -381 -111
4991847 3 -3 1 1 1 1 1 1108 -124 18236 79 -402 -116
4991947 3 -3 1 69 62 71 65 1120 -196 18236 83 -413 -116
4992047 1 -3 39 58 56 69 63 1056 -256 18280 70 -384 -119
4992147 1 -3 79 69 61 73 70 964 -224 18240 95 -418 -123
4992247 1 -3 85 64 67 74 69 1140 -180 18268 132 -438 -98
4992347 4 -4 102 75 1 56 69 1036 -160 18288 79 -411 -145
4992447 2 -4 26 89 25 1 67 1184 -252 18260 106 -419 -123
4992547 -1 -5 75 73 1 82 75 1008 -144 18324 83 -400 -119
4992647 -1 -2 73 65 60 73 56 1128 -52 18356 60 -401 -94
4992747 2 -4 79 1 68 1 73 1048 -184 18528 127 -443 -137
4992847 2 -2 44 4 65 70 59 1076 -188 18212 120 -426 -122
4992947 4 -4 1 64 67 76 62 1080 -252 18456 65 -381 -121
4993047 1 -3 10 59 67 80 1 1100 -72 18240 104 -429 -120
4993147 1 -3 1 1 1 63 40 1124 -276 18264 74 -420 -118
