t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
435591 0 -7527 100.000000 0.000000 0.018919 100.000000 0.000000 -0.126893 Infinity 0.000000 0.018919 100.000000 0 0 -35393 -365775 367483.343750 0.000000 2.213903 100.000000
436591 0 -7556 100.000000 0.000000 0.022516 100.000000 0.000000 -0.028730 Infinity 0.000000 0.022516 100.000000 0 0 -30862 -371822 373100.625000 0.000000 2.236419 100.000000
437591 0 -7628 100.000000 0.000000 0.020118 100.000000 0.000000 -0.071826 Infinity 0.000000 0.020118 100.000000 0 0 -26151 -377822 378725.937500 0.000000 2.256537 100.000000
438591 0 -7702 100.000000 0.000000 0.019985 100.000000 0.000000 -0.074220 Infinity 0.000000 0.019985 100.000000 0 0 -21274 -383783 384372.156250 0.000000 2.276522 100.000000
439591 0 -7800 100.000000 0.000000 0.017986 100.000000 0.000000 -0.098162 Infinity 0.000000 0.017986 100.000000 0 0 -16215 -389720 390057.187500 0.000000 2.294508 100.000000
440591 0 -7841 100.000000 0.000000 0.020384 100.000000 0.000000 -0.040701 Infinity 0.000000 0.020384 100.000000 0 0 -11023 -395596 395749.531250 0.000000 2.314893 100.000000
441591 0 -7875 100.000000 0.000000 0.022649 100.000000 0.000000 -0.033519 Infinity 0.000000 0.022649 100.000000 0 0 -5690 -401389 401429.312500 0.000000 2.337542 100.000000
442591 0 -7985 100.000000 0.000000 0.019319 100.000000 0.000000 -0.110133 Infinity 0.000000 0.019319 100.000000 0 0 -150 -407139 407139.031250 0.000000 2.356860 100.000000
443591 0 -7994 100.000000 0.000000 0.018386 100.000000 0.000000 -0.009577 Infinity 0.000000 0.018386 100.000000 0 0 5507 -412788 412824.718750 0.000000 2.375246 100.000000
444591 0 -8035 100.000000 0.000000 0.023848 100.000000 0.000000 -0.040701 Infinity 0.000000 0.023848 100.000000 0 0 11296 -418360 418512.468750 0.000000 2.399095 100.000000
445591 0 -8061 100.000000 0.000000 0.020251 100.000000 0.000000 -0.026336 Infinity 0.000000 0.020251 100.000000 0 0 17235 -423810 424160.281250 0.000000 2.419346 100.000000
446591 0 -8140 100.000000 0.000000 0.021983 100.000000 0.000000 -0.079009 Infinity 0.000000 0.021983 100.000000 0 0 23343 -429191 429825.343750 0.000000 2.441329 100.000000
447591 0 -8188 100.000000 0.000000 0.018519 100.000000 0.000000 -0.047884 Infinity 0.000000 0.018519 100.000000 0 0 29604 -434468 435475.406250 0.000000 2.459848 100.000000
448591 0 -8279 100.000000 0.000000 0.021583 100.000000 0.000000 -0.090980 Infinity 0.000000 0.021583 100.000000 0 0 36033 -439685 441159.000000 0.000000 2.481431 100.000000
449591 0 -8332 100.000000 0.000000 0.018253 100.000000 0.000000 -0.052672 Infinity 0.000000 0.018253 100.000000 0 0 42614 -444794 446830.687500 0.000000 2.499684 100.000000
450591 0 -8365 100.000000 0.000000 0.021450 100.000000 0.000000 -0.033519 Infinity 0.000000 0.021450 100.000000 0 0 49314 -449803 452498.187500 0.000000 2.521134 100.000000
451591 0 -8425 100.000000 0.000000 0.020251 100.000000 0.000000 -0.059855 Infinity 0.000000 0.020251 100.000000 0 0 56169 -454701 458157.125000 0.000000 2.541385 100.000000
