t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
1 30 30 0 0 0 0 108 0 0 0 0 0 0
2 30 30 0 0 0 0 108 0 0 0 0 0 0
3 30 30 0 0 0 0 108 0 0 0 0 0 0
4 30 30 0 0 0 0 108 0 0 0 0 0 0
5 30 30 0 0 0 0 108 0 0 0 0 0 0
6 30 30 0 0 0 0 108 0 0 0 0 0 0
7 30 30 0 0 0 0 108 0 0 0 0 0 0
8 30 30 0 0 0 0 108 0 0 0 0 0 0
9 30 30 0 0 0 0 108 0 0 0 0 0 0
10 30 30 0 0 0 0 108 0 0 0 0 0 0
11 30 30 0 0 0 0 108 0 0 0 0 0 0
12 30 30 0 0 0 0 108 0 0 0 0 0 0
13 30 30 0 0 0 0 108 0 0 0 0 0 0
14 30 30 0 0 0 0 108 0 0 0 0 0 0
15 30 30 0 0 0 0 108 0 0 0 0 0 0
16 30 30 0 0 0 0 70 0 0 0 0 0 0
17 30 30 0 0 0 0 70 0 0 0 0 0 0
18 30 30 0 0 0 0 70 0 0 0 0 0 0
19 30 30 0 0 0 0 70 0 0 0 0 0 0
20 30 30 0 0 0 0 70 0 0 0 0 0 0
21 30 30 0 0 0 0 70 0 0 0 0 0 0
22 30 30 0 0 0 0 70 0 0 0 0 0 0
23 30 30 0 0 0 0 70 0 0 0 0 0 0
24 30 30 0 0 0 0 70 0 0 0 0 0 0
25 30 30 0 0 0 0 108 0 0 0 0 0 0
26 30 30 0 0 0 0 108 0 0 0 0 0 0
27 30 30 0 0 0 0 108 0 0 0 0 0 0
28 30 30 0 0 0 0 108 0 0 0 0 0 0
29 30 30 0 0 0 0 108 0 0 0 0 0 0
30 30 30 0 0 0 0 108 0 0 0 0 0 0
31 30 30 0 0 0 0 108 0 0 0 0 0 0
32 30 30 0 0 0 0 108 0 0 0 0 0 0
33 30 30 0 0 0 0 108 0 0 0 0 0 0
34 30 30 0 0 0 0 108 0 0 0 0 0 0
35 30 30 0 0 0 0 108 0 0 0 0 0 0
36 30 30 0 0 0 0 108 0 0 0 0 0 0
37 30 30 0 0 0 0 108 0 0 0 0 0 0
38 30 30 0 0 0 0 108 0 0 0 0 0 0
39 30 30 0 0 0 0 60 0 0 0 0 0 0
40 30 30 0 0 0 0 60 0 0 0 0 0 0
41 30 30 0 0 0 0 60 0 0 0 0 0 0
42 30 30 0 0 0 0 60 0 0 0 0 0 0
43 30 30 0 0 0 0 60 0 0 0 0 0 0
44 30 30 0 0 0 0 60 0 0 0 0 0 0
45 30 30 0 0 0 0 60 0 0 0 0 0 0
46 30 30 0 0 0 0 60 0 0 0 0 0 0
47 30 30 0 0 0 0 60 0 0 0 0 0 0
48 30 30 0 0 0 0 60 0 0 0 0 0 0
49 30 30 0 0 0 0 108 0 0 0 0 0 0
50 30 30 0 0 0 0 108 0 0 0 0 0 0
51 30 30 0 0 0 0 108 0 0 0 0 0 0
52 30 30 0 0 0 0 108 0 0 0 0 0 0
53 30 30 0 0 0 0 108 0 0 0 0 0 0
54 30 30 0 0 0 0 108 0 0 0 0 0 0
55 30 30 0 0 0 0 108 0 0 0 0 0 0
56 30 30 0 0 0 0 108 0 0 0 0 0 0
57 30 30 0 0 0 0 108 0 0 0 0 0 0
58 30 30 0 0 0 0 108 0 0 0 0 0 0
