t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
1 30 30 0 0 0 0 148 0 0 0 0 0 0
2 30 30 0 0 0 0 142.2320208438 0 0 0 0 0 0
3 30 30 0 0 0 0 156.5435772687 0 0 0 0 0 0
4 30 30 0 0 0 0 149.0111146048 0 0 0 0 0 0
5 30 30 0 0 0 0 153.2166268136 0 0 0 0 0 0
6 30 30 0 0 0 0 152.4231722271 0 0 0 0 0 0
7 30 30 0 0 0 0 139.0881835409 0 0 0 0 0 0
8 30 30 0 0 0 0 132.2504221853 0 0 0 0 0 0
9 30 30 0 0 0 0 121.2292632479 0 0 0 0 0 0
10 30 30 0 0 0 0 143.826758435 0 0 0 0 0 0
11 30 30 0 0 0 0 122.2836882267 0 0 0 0 0 0
12 30 30 0 0 0 0 117.0528576169 0 0 0 0 0 0
13 30 30 0 0 0 0 150.6555397222 0 0 0 0 0 0
14 30 30 0 0 0 0 140.5459760148 0 0 0 0 0 0
15 30 30 0 0 0 0 126.5353737092 0 0 0 0 0 0
16 30 30 0 0 0 0 100.878750328 0 0 0 0 0 0
17 30 30 0 0 0 0 97.0351635991 0 0 0 0 0 0
18 30 30 0 0 0 0 116.4012452401 0 0 0 0 0 0
19 30 30 0 0 0 0 118.0437450577 0 0 0 0 0 0
20 30 30 0 0 0 0 98.2460269984 0 0 0 0 0 0
21 30 30 0 0 0 0 98.0036429176 0 0 0 0 0 0
22 30 30 0 0 0 0 76.6170798382 0 0 0 0 0 0
23 30 30 0 0 0 0 105.572163295 0 0 0 0 0 0
24 30 30 0 0 0 0 76.9574000314 0 0 0 0 0 0
25 30 30 0 0 0 0 112.6380815795 0 0 0 0 0 0
26 30 30 0 0 0 0 137.3362386059 0 0 0 0 0 0
27 30 30 0 0 0 0 113.3756860318 0 0 0 0 0 0
28 30 30 0 0 0 0 130.6589650614 0 0 0 0 0 0
29 30 30 0 0 0 0 133.0402882928 0 0 0 0 0 0
30 30 30 0 0 0 0 157.9595134985 0 0 0 0 0 0
31 30 30 0 0 0 0 140.9590016045 0 0 0 0 0 0
32 30 30 0 0 0 0 145.2214249801 0 0 0 0 0 0
33 30 30 0 0 0 0 142.1915343422 0 0 0 0 0 0
34 30 30 0 0 0 0 139.5025788732 0 0 0 0 0 0
35 30 30 0 0 0 0 136.2325396081 0 0 0 0 0 0
36 30 30 0 0 0 0 137.4081611559 0 0 0 0 0 0
37 30 30 0 0 0 0 133.9257511003 0 0 0 0 0 0
38 30 30 0 0 0 0 117.320723149 0 0 0 0 0 0
39 30 30 0 0 0 0 63.6585833412 0 0 0 0 0 0
40 30 30 0 0 0 0 99.1550143715 0 0 0 0 0 0
41 30 30 0 0 0 0 105.147481584 0 0 0 0 0 0
42 30 30 0 0 0 0 77.9422715679 0 0 0 0 0 0
43 30 30 0 0 0 0 108.2078719884 0 0 0 0 0 0
44 30 30 0 0 0 0 97.8030213062 0 0 0 0 0 0
45 30 30 0 0 0 0 60.4882475827 0 0 0 0 0 0
46 30 30 0 0 0 0 76.7432456976 0 0 0 0 0 0
47 30 30 0 0 0 0 78.6817716574 0 0 0 0 0 0
48 30 30 0 0 0 0 87.5234111818 0 0 0 0 0 0
49 30 30 0 0 0 0 121.144490961 0 0 0 0 0 0
50 30 30 0 0 0 0 124.7255167151 0 0 0 0 0 0
51 30 30 0 0 0 0 113.7694381801 0 0 0 0 0 0
52 30 30 0 0 0 0 149.1481338786 0 0 0 0 0 0
53 30 30 0 0 0 0 131.3425965766 0 0 0 0 0 0
54 30 30 0 0 0 0 149.3416014984 0 0 0 0 0 0
55 30 30 0 0 0 0 156.1055339333 0 0 0 0 0 0
56 30 30 0 0 0 0 135.980678156 0 0 0 0 0 0
57 30 30 0 0 0 0 128.6778401043 0 0 0 0 0 0
58 30 30 0 0 0 0 111.481219965 0 0 0 0 0 0
