t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
1 30 30 0 0 0 0 142 0 0 0 0 0 0
2 30 30 0 0 0 0 119 0 0 0 0 0 0
3 30 30 0 0 0 0 122 0 0 0 0 0 0
4 30 30 0 0 0 0 158 0 0 0 0 0 0
5 30 30 0 0 0 0 132 0 0 0 0 0 0
6 30 30 0 0 0 0 157 0 0 0 0 0 0
7 30 30 0 0 0 0 131 0 0 0 0 0 0
8 30 30 0 0 0 0 156 0 0 0 0 0 0
9 30 30 0 0 0 0 121 0 0 0 0 0 0
10 30 30 0 0 0 0 125 0 0 0 0 0 0
11 30 30 0 0 0 0 119 0 0 0 0 0 0
12 30 30 0 0 0 0 128 0 0 0 0 0 0
13 30 30 0 0 0 0 151 0 0 0 0 0 0
14 30 30 0 0 0 0 152 0 0 0 0 0 0
15 30 30 0 0 0 0 145 0 0 0 0 0 0
16 30 30 0 0 0 0 146 0 0 0 0 0 0
17 30 30 0 0 0 0 150 0 0 0 0 0 0
18 30 30 0 0 0 0 108 0 0 0 0 0 0
19 30 30 0 0 0 0 111 0 0 0 0 0 0
20 30 30 0 0 0 0 131 0 0 0 0 0 0
21 30 30 0 0 0 0 132 0 0 0 0 0 0
22 30 30 0 0 0 0 116 0 0 0 0 0 0
23 30 30 0 0 0 0 110 0 0 0 0 0 0
24 30 30 0 0 0 0 145 0 0 0 0 0 0
25 30 30 0 0 0 0 151 0 0 0 0 0 0
26 30 30 0 0 0 0 157 0 0 0 0 0 0
27 30 30 0 0 0 0 110 0 0 0 0 0 0
28 30 30 0 0 0 0 114 0 0 0 0 0 0
29 30 30 0 0 0 0 65 0 0 0 0 0 0
30 30 30 0 0 0 0 95 0 0 0 0 0 0
31 30 30 0 0 0 0 97 0 0 0 0 0 0
32 30 30 0 0 0 0 99 0 0 0 0 0 0
33 30 30 0 0 0 0 55 0 0 0 0 0 0
34 30 30 0 0 0 0 61 0 0 0 0 0 0
35 30 30 0 0 0 0 99 0 0 0 0 0 0
36 30 30 0 0 0 0 80 0 0 0 0 0 0
37 30 30 0 0 0 0 60 0 0 0 0 0 0
38 30 30 0 0 0 0 71 0 0 0 0 0 0
39 30 30 0 0 0 0 77 0 0 0 0 0 0
40 30 30 0 0 0 0 73 0 0 0 0 0 0
41 30 30 0 0 0 0 89 0 0 0 0 0 0
42 30 30 0 0 0 0 89 0 0 0 0 0 0
43 30 30 0 0 0 0 94 0 0 0 0 0 0
44 30 30 0 0 0 0 81 0 0 0 0 0 0
45 30 30 0 0 0 0 83 0 0 0 0 0 0
46 30 30 0 0 0 0 80 0 0 0 0 0 0
47 30 30 0 0 0 0 69 0 0 0 0 0 0
48 30 30 0 0 0 0 74 0 0 0 0 0 0
49 30 30 0 0 0 0 80 0 0 0 0 0 0
50 30 30 0 0 0 0 73 0 0 0 0 0 0
51 30 30 0 0 0 0 97 0 0 0 0 0 0
52 30 30 0 0 0 0 54 0 0 0 0 0 0
53 30 30 0 0 0 0 81 0 0 0 0 0 0
54 30 30 0 0 0 0 99 0 0 0 0 0 0
55 30 30 0 0 0 0 91 0 0 0 0 0 0
56 30 30 0 0 0 0 74 0 0 0 0 0 0
57 30 30 0 0 0 0 98 0 0 0 0 0 0
58 30 30 0 0 0 0 93 0 0 0 0 0 0
59 30 30 0 0 0 0 81 0 0 0 0 0 0
60 30 30 0 0 0 0 62 0 0 0 0 0 0
61 30 30 0 0 0 0 87 0 0 0 0 0 0
62 30 30 0 0 0 0 78 0 0 0 0 0 0
63 30 30 0 0 0 0 61 0 0 0 0 0 0
64 30 30 0 0 0 0 93 0 0 0 0 0 0
65 30 30 0 0 0 0 90 0 0 0 0 0 0
66 30 30 0 0 0 0 59 0 0 0 0 0 0
67 30 30 0 0 0 0 72 0 0 0 0 0 0
68 30 30 0 0 0 0 100 0 0 0 0 0 0
69 30 30 0 0 0 0 80 0 0 0 0 0 0
70 30 30 0 0 0 0 99 0 0 0 0 0 0
71 30 30 0 0 0 0 73 0 0 0 0 0 0
72 30 30 0 0 0 0 68 0 0 0 0 0 0
73 30 30 0 0 0 0 87 0 0 0 0 0 0
74 30 30 0 0 0 0 66 0 0 0 0 0 0
75 30 30 0 0 0 0 100 0 0 0 0 0 0
76 30 30 0 0 0 0 69 0 0 0 0 0 0
77 30 30 0 0 0 0 97 0 0 0 0 0 0
78 30 30 0 0 0 0 69 0 0 0 0 0 0
79 30 30 0 0 0 0 93 0 0 0 0 0 0
80 30 30 0 0 0 0 76 0 0 0 0 0 0
81 30 30 0 0 0 0 92 0 0 0 0 0 0
82 30 30 0 0 0 0 90 0 0 0 0 0 0
83 30 30 0 0 0 0 81 0 0 0 0 0 0
84 30 30 0 0 0 0 73 0 0 0 0 0 0
85 30 30 0 0 0 0 88 0 0 0 0 0 0
86 30 30 0 0 0 0 71 0 0 0 0 0 0
87 30 30 0 0 0 0 156 0 0 0 0 0 0
88 30 30 0 0 0 0 143 0 0 0 0 0 0
89 30 30 0 0 0 0 121 0 0 0 0 0 0
90 30 30 0 0 0 0 136 0 0 0 0 0 0
91 30 30 0 0 0 0 156 0 0 0 0 0 0
