t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz     
18635995 0 0 164 76 92 4 48 0 -204 0 0 0 -188    c2 22
18635995 0 0 164 76 92 4 48 0 -204 0 0 0 -188    c1 7.5
18637023 0 0 165 76 92 6 40 0 -264 0 0 0 -194  5388   
18637023 0 0 165 76 92 6 40 0 -264 0 0 0 -194     
18637023 0 0 165 76 92 6 40 0 -264 0 0 0 -194  1580.48   
18637023 0 0 165 76 92 6 40 0 -264 0 0 0 -194     
18638051 0 0 166 76 95 5 49 0 -196 0 0 0 -202     
18638051 0 0 166 76 95 5 49 0 -196 0 0 0 -202     
18638051 0 0 166 76 95 5 49 0 -196 0 0 0 -202     
18638051 0 0 166 76 95 5 49 0 -196 0 0 0 -202     
18638308 0 0 165 76 92 2 37 0 -140 0 0 0 -164     
18639079 0 0 165 76 92 20 45 0 -72 0 0 0 -195     
18639079 0 0 165 76 92 20 45 0 -72 0 0 0 -195     
18639079 0 0 165 76 92 20 45 0 -72 0 0 0 -195     
18639336 0 0 164 76 93 8 44 0 -84 0 0 0 -201     
18640107 0 0 163 76 93 3 42 0 -124 0 0 0 -161     
18640107 0 0 163 76 93 3 42 0 -124 0 0 0 -161     
18640107 0 0 163 76 93 3 42 0 -124 0 0 0 -161     
18640107 0 0 163 76 93 3 42 0 -124 0 0 0 -161     
18641392 0 0 164 76 93 7 44 0 -200 0 0 0 -216     
18641392 0 0 164 76 93 7 44 0 -200 0 0 0 -216     
18641392 0 0 164 76 93 7 44 0 -200 0 0 0 -216     
18641392 0 0 164 76 93 7 44 0 -200 0 0 0 -216     
18642420 0 0 165 76 93 13 39 0 -128 0 0 0 -179     
18642420 0 0 165 76 93 13 39 0 -128 0 0 0 -179     
18642420 0 0 165 76 93 13 39 0 -128 0 0 0 -179     
18642420 0 0 165 76 93 13 39 0 -128 0 0 0 -179     
18643448 0 0 164 76 92 6 40 0 -180 0 0 0 -192     
18643448 0 0 164 76 92 6 40 0 -180 0 0 0 -192     
18643448 0 0 164 76 92 6 40 0 -180 0 0 0 -192     
18643448 0 0 164 76 92 6 40 0 -180 0 0 0 -192     
18644476 0 0 166 76 95 5 48 0 -160 0 0 0 -174     
18644476 0 0 166 76 95 5 48 0 -160 0 0 0 -174     
18644476 0 0 166 76 95 5 48 0 -160 0 0 0 -174     
18644476 0 0 166 76 95 5 48 0 -160 0 0 0 -174     
18645504 0 0 164 76 92 15 40 0 -12 0 0 0 -186     
18645504 0 0 164 76 92 15 40 0 -12 0 0 0 -186     
18645504 0 0 164 76 92 15 40 0 -12 0 0 0 -186     
18645504 0 0 164 76 92 15 40 0 -12 0 0 0 -186     
18646532 0 0 164 76 93 2 40 0 -228 0 0 0 -195     
18646532 0 0 164 76 93 2 40 0 -228 0 0 0 -195     
18646532 0 0 164 76 93 2 40 0 -228 0 0 0 -195     
18646532 0 0 164 76 93 2 40 0 -228 0 0 0 -195     
18647560 0 0 164 76 92 2 43 0 -60 0 0 0 -208     
18647560 0 0 164 76 92 2 43 0 -60 0 0 0 -208     
