t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
19203708 0 0 153 74 75 1 148 0 0 0 0 0 -209  
19203708 0 0 153 74 75 1 148 0 0 0 0 0 -209  
19203708 0 0 153 74 75 1 148 0 0 0 0 0 -209  5975
19203708 0 0 153 74 75 1 148 0 0 0 0 0 -209  
19203965 0 0 152 74 76 5 149 0 -24 0 0 0 -196  1593.3333333333
19204736 0 0 152 74 75 1 148 0 -64 0 0 0 -222  
19204736 0 0 152 74 75 1 148 0 -64 0 0 0 -222  
19204736 0 0 152 74 75 1 148 0 -64 0 0 0 -222  
19204993 0 0 155 75 76 4 149 0 -40 0 0 0 -207  
19205764 0 0 154 74 76 4 147 0 52 0 0 0 -200  
19205764 0 0 154 74 76 4 147 0 52 0 0 0 -200  
19205764 0 0 154 74 76 4 147 0 52 0 0 0 -200  
19205764 0 0 154 74 76 4 147 0 52 0 0 0 -200  
19206792 0 0 152 74 75 3 150 0 -92 0 0 0 -195  
19206792 0 0 152 74 75 3 150 0 -92 0 0 0 -195  
19206792 0 0 152 74 75 3 150 0 -92 0 0 0 -195  
19207049 0 0 151 74 76 4 149 0 -48 0 0 0 -205  
19207820 0 0 153 74 76 4 149 0 20 0 0 0 -200  
19207820 0 0 153 74 76 4 149 0 20 0 0 0 -200  
19207820 0 0 153 74 76 4 149 0 20 0 0 0 -200  
19207820 0 0 153 74 76 4 149 0 20 0 0 0 -200  
19209105 0 0 151 74 76 2 149 0 -40 0 0 0 -199  
19209105 0 0 151 74 76 2 149 0 -40 0 0 0 -199  
19209105 0 0 151 74 76 2 149 0 -40 0 0 0 -199  
19209105 0 0 151 74 76 2 149 0 -40 0 0 0 -199  
19209362 0 0 154 74 77 2 150 0 32 0 0 0 -207  
19210133 0 0 152 74 75 1 149 0 -116 0 0 0 -213  
19210133 0 0 152 74 75 1 149 0 -116 0 0 0 -213  
19210133 0 0 152 74 75 1 149 0 -116 0 0 0 -213  
19210390 0 0 150 74 75 1 149 0 -36 0 0 0 -182  
19211161 0 0 154 74 77 2 150 0 32 0 0 0 -221  
19211161 0 0 154 74 77 2 150 0 32 0 0 0 -221  
19211161 0 0 154 74 77 2 150 0 32 0 0 0 -221  
19211418 0 0 153 74 75 2 150 0 -60 0 0 0 -178  
19212189 0 0 153 74 76 3 148 0 -8 0 0 0 -200  
19212189 0 0 153 74 76 3 148 0 -8 0 0 0 -200  
19212189 0 0 153 74 76 3 148 0 -8 0 0 0 -200  
19212446 0 0 152 74 76 2 149 0 -40 0 0 0 -212  
19213217 0 0 154 74 75 3 149 0 52 0 0 0 -167  
19213474 0 0 154 74 73 1 149 0 36 0 0 0 -180  
19214245 0 0 152 75 75 37 148 0 60 0 0 0 -213  
19214245 0 0 152 75 75 37 148 0 60 0 0 0 -213  
19214245 0 0 152 75 75 37 148 0 60 0 0 0 -213  
19214502 0 0 152 75 77 88 153 0 96 0 0 0 -207  
19215273 0 0 154 75 74 121 80 0 56 0 0 0 -182  
