t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
2182149 0 0 1887 3325 1660 246 179 0.000000 -0.232238 0.000000 0.000000 0.000000 -0.019851
2182663 0 0 1970 3325 1556 243 179 0.000000 -0.282516 0.000000 0.000000 0.000000 -0.025181
2183177 0 0 1970 3325 1625 243 182 0.000000 -0.320823 0.000000 0.000000 0.000000 -0.016654
2183691 0 0 1887 3325 1590 243 179 0.000000 -0.201113 0.000000 0.000000 0.000000 -0.016254
2184205 0 0 1887 3325 1556 243 179 0.000000 -0.296881 0.000000 0.000000 0.000000 -0.019319
2184719 0 0 1887 3325 1625 243 185 0.000000 -0.284910 0.000000 0.000000 0.000000 -0.020518
2185233 0 0 1887 3325 1590 240 182 0.000000 -0.296881 0.000000 0.000000 0.000000 -0.015855
2185747 0 0 1887 3325 1625 246 182 0.000000 -0.263362 0.000000 0.000000 0.000000 -0.025980
2186261 0 0 1887 3325 1625 246 182 0.000000 -0.332794 0.000000 0.000000 0.000000 -0.016521
2187289 0 0 1928 3325 1524 246 179 0.000000 -0.248997 0.000000 0.000000 0.000000 -0.020118
2188060 7 6 1556 3325 1524 237 179 0.000000 0.490811 0.000000 0.000000 0.000000 -0.137361
2189088 34 38 1625 3325 1625 211 160 0.000000 0.227449 0.000000 0.000000 0.000000 0.018652
2189345 31 32 1660 3325 1590 208 157 0.000000 0.636858 0.000000 0.000000 0.000000 0.004663
2190373 31 30 1590 3325 1660 208 160 0.000000 0.114922 0.000000 0.000000 0.000000 -0.037172
2191144 29 29 1625 3325 1625 202 157 0.000000 -0.840365 0.000000 0.000000 0.000000 -0.045565
2192172 28 27 1732 3325 1556 191 155 0.000000 -0.428562 0.000000 0.000000 0.000000 0.008127
2192429 29 31 1660 3325 1556 193 152 0.000000 -0.725443 0.000000 0.000000 0.000000 0.004130
2193200 13 27 1660 3258 1887 223 160 0.000000 -0.845153 0.000000 0.000000 0.000000 0.152150
2193457 18 31 1460 3325 1847 252 160 0.000000 -0.349553 0.000000 0.000000 0.000000 0.092063
2194485 31 30 1660 1625 1732 276 157 0.000000 -0.823605 0.000000 0.000000 0.000000 -0.019319
2194742 28 30 1732 1491 1732 282 157 0.000000 -0.105345 0.000000 0.000000 0.000000 0.014123
2195513 28 29 1625 1285 1590 300 155 0.000000 -1.290475 0.000000 0.000000 0.000000 -0.017853
2195770 29 30 1590 1206 1556 310 160 0.000000 -1.113304 0.000000 0.000000 0.000000 -0.030643
2196541 31 31 1732 962 1460 320 165 0.000000 -0.153229 0.000000 0.000000 0.000000 -0.016387
2196798 29 30 1696 1001 1429 328 165 0.000000 -0.622492 0.000000 0.000000 0.000000 -0.014123
2197569 33 30 1590 3325 1399 344 182 0.000000 -1.235408 0.000000 0.000000 0.000000 -0.059288
2198597 28 30 305 3325 1312 358 188 0.000000 -0.847547 0.000000 0.000000 0.000000 -0.008793
2198854 28 30 297 3325 1312 367 193 0.000000 0.122104 0.000000 0.000000 0.000000 -0.008793
2199882 29 31 276 3192 1157 396 208 0.000000 -0.746991 0.000000 0.000000 0.000000 -0.018253
2200139 31 30 243 3258 1110 400 211 0.000000 -0.160412 0.000000 0.000000 0.000000 -0.016787
2201938 18 26 260 3258 888 518 243 0.000000 -0.663194 0.000000 0.000000 0.000000 0.090864
2202966 19 32 292 3325 685 581 282 0.000000 0.050278 0.000000 0.000000 0.000000 0.116977
2203223 19 31 315 3325 504 532 290 0.000000 -0.936133 0.000000 0.000000 0.000000 0.078340
2203994 11 30 328 1312 556 407 336 0.000000 -0.071826 0.000000 0.000000 0.000000 0.180395
2204251 14 32 339 1887 540 382 361 0.000000 -0.658405 0.000000 0.000000 0.000000 0.138827
2205279 16 29 370 3325 532 452 511 0.000000 -0.689530 0.000000 0.000000 0.000000 0.085268
2205536 5 25 376 3325 572 424 564 0.000000 -0.438139 0.000000 0.000000 0.000000 0.235286
2207335 0 0 452 3325 981 379 548 0.000000 -0.605733 0.000000 0.000000 0.000000 -0.015188
2208620 -20 24 2286 3325 1369 367 428 0.000000 -0.708684 0.000000 0.000000 0.000000 0.329614
2209391 -4 2 1369 3258 1399 437 428 0.000000 0.179565 0.000000 0.000000 0.000000 -0.021450
2210419 40 38 3258 2191 1460 419 462 0.000000 -0.490811 0.000000 0.000000 0.000000 -0.039836
2210676 34 34 3127 2385 1429 424 473 0.000000 0.713472 0.000000 0.000000 0.000000 -0.030910
2211447 28 29 2056 2762 1312 590 479 0.000000 -0.102951 0.000000 0.000000 0.000000 -0.005862
2212732 31 32 2436 3325 1133 806 1157 0.000000 0.117316 0.000000 0.000000 0.000000 -0.001865
2213503 25 30 2100 3258 962 1341 323 0.000000 -0.984017 0.000000 0.000000 0.000000 0.041302
2214531 18 31 3258 3325 906 1258 333 0.000000 -0.895431 0.000000 0.000000 0.000000 0.120708
2214788 19 32 3325 3325 906 1232 341 0.000000 -0.079009 0.000000 0.000000 0.000000 0.119642
2215559 26 30 3258 3325 806 1022 564 0.000000 0.110133 0.000000 0.000000 0.000000 0.043034
2215816 20 30 452 3325 791 791 590 0.000000 -0.924162 0.000000 0.000000 0.000000 0.100723
2216844 15 30 3325 3325 806 600 662 0.000000 -0.849942 0.000000 0.000000 0.000000 0.098058
2217101 18 30 3325 3325 791 564 1399 0.000000 -1.201889 0.000000 0.000000 0.000000 0.061286
2217872 15 29 572 3325 791 447 650 0.000000 -0.239420 0.000000 0.000000 0.000000 0.126570
2218129 13 30 1065 3258 791 415 777 0.000000 -0.596156 0.000000 0.000000 0.000000 0.154015
2219157 15 31 2649 3325 924 333 722 0.000000 -0.905008 0.000000 0.000000 0.000000 0.146688
2219928 15 30 2012 3325 1022 315 532 0.000000 -0.459687 0.000000 0.000000 0.000000 0.133631
2220956 14 31 2056 3325 1285 282 396 0.000000 0.181959 0.000000 0.000000 0.000000 0.137095
2221213 13 29 3258 3325 1285 276 367 0.000000 -1.182736 0.000000 0.000000 0.000000 0.120441
2222241 16 31 1696 3325 1625 287 297 0.000000 -0.028730 0.000000 0.000000 0.000000 0.146288
2222498 16 31 2238 3325 1660 295 282 0.000000 -0.960075 0.000000 0.000000 0.000000 0.122440
2223526 14 29 1460 1887 1556 333 263 0.000000 -0.715866 0.000000 0.000000 0.000000 0.128701
2224297 33 34 1341 3258 1590 344 260 0.000000 0.598550 0.000000 0.000000 0.000000 -0.016920
2224554 33 32 364 3258 1524 344 257 0.000000 -0.871489 0.000000 0.000000 0.000000 -0.021850
2225325 33 30 229 3325 1460 347 265 0.000000 -0.165200 0.000000 0.000000 0.000000 -0.027712
2225582 28 30 223 3325 1460 349 268 0.000000 0.344765 0.000000 0.000000 0.000000 0.000400
2226353 29 30 237 3325 1312 352 271 0.000000 0.251391 0.000000 0.000000 0.000000 -0.021850
2226610 31 30 220 3192 1258 347 263 0.000000 0.476446 0.000000 0.000000 0.000000 -0.020384
2227381 29 29 223 3325 1181 349 268 0.000000 -0.217872 0.000000 0.000000 0.000000 -0.029977
2227638 32 30 202 3258 1110 344 265 0.000000 0.792481 0.000000 0.000000 0.000000 -0.034374
2228409 27 27 3064 3325 1043 347 263 0.000000 -0.612916 0.000000 0.000000 0.000000 -0.015055
2228666 29 29 3192 3325 1001 344 265 0.000000 0.088585 0.000000 0.000000 0.000000 -0.029444
2229951 29 31 2541 3258 806 347 265 0.000000 0.196325 0.000000 0.000000 0.000000 -0.006528
2230979 9 27 2488 3325 697 468 232 0.000000 0.514753 0.000000 0.000000 0.000000 0.104054
2232007 16 30 2145 3325 600 640 260 0.000000 -0.885855 0.000000 0.000000 0.000000 0.121507
2232264 16 30 1232 3325 590 777 268 0.000000 0.895431 0.000000 0.000000 0.000000 0.134830
2233035 13 26 3325 2012 556 479 308 0.000000 -0.215478 0.000000 0.000000 0.000000 0.121640
2233292 14 29 3064 1491 548 432 326 0.000000 -0.138864 0.000000 0.000000 0.000000 0.124971
2234063 13 30 1460 3064 564 336 400 0.000000 -0.289698 0.000000 0.000000 0.000000 0.115511
2235091 -13 15 457 3258 749 276 556 0.000000 -0.031125 0.000000 0.000000 0.000000 0.449389
2235348 -34 21 1732 3325 981 305 525 0.000000 0.205901 0.000000 0.000000 0.000000 0.587683
2236119 -4 26 1312 3325 1460 352 364 0.000000 -0.359130 0.000000 0.000000 0.000000 0.266063
2236376 0 32 2056 3325 1341 373 323 0.000000 -0.550666 0.000000 0.000000 0.000000 0.324418
2237147 38 33 2012 3325 1206 403 323 0.000000 -0.976834 0.000000 0.000000 0.000000 -0.077407
2237404 34 33 2012 3325 1232 396 318 0.000000 0.351948 0.000000 0.000000 0.000000 -0.040502
2238432 29 29 1460 3325 1065 379 308 0.000000 -1.072602 0.000000 0.000000 0.000000 -0.018519
2238689 29 30 1524 3258 1043 376 302 0.000000 -1.029507 0.000000 0.000000 0.000000 -0.029711
2239203 31 30 1732 3325 1001 370 295 0.000000 0.548272 0.000000 0.000000 0.000000 -0.031176
2239460 29 29 1696 3325 1001 379 300 0.000000 -0.359130 0.000000 0.000000 0.000000 -0.013856
2240488 29 31 600 3325 871 370 295 0.000000 0.114922 0.000000 0.000000 0.000000 -0.006528
2241516 27 7 572 3325 854 326 305 0.000000 -0.914585 0.000000 0.000000 0.000000 -0.160810
2241773 31 40 581 3258 791 320 292 0.000000 -0.895431 0.000000 0.000000 0.000000 0.225028
2242544 29 37 504 3325 600 344 276 0.000000 -0.526724 0.000000 0.000000 0.000000 0.047164
2244086 29 30 2056 3258 432 341 276 0.000000 -0.081403 0.000000 0.000000 0.000000 -0.003331
2245114 0 15 2436 3325 389 419 246 0.000000 0.026336 0.000000 0.000000 0.000000 0.148686
2245371 -6 13 3258 3325 379 462 240 0.000000 -0.632069 0.000000 0.000000 0.000000 0.211571
2246142 -31 27 2100 3325 497 349 252 0.000000 -0.840365 0.000000 0.000000 0.000000 0.506545
