t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
3958098 0 0 55 22 32 52 58 0 -552 0 0 0 -191
3958869 0 0 57 26 31 55 60 0 -448 0 0 0 -193
3959897 0 0 57 23 34 49 59 0 -544 0 0 0 -139
3960154 0 0 55 20 32 45 57 0 -508 0 0 0 -189
3961182 0 0 56 27 30 57 56 0 -580 0 0 0 -209
3961439 0 0 55 20 29 55 58 0 -584 0 0 0 -215
3962210 0 0 116 21 29 49 59 0 -644 0 0 0 -209
3962467 0 0 116 13 32 45 57 0 -568 0 0 0 -217
3963238 0 0 114 113 31 52 57 0 -560 0 0 0 -208
3963495 0 0 111 17 28 52 59 0 -132 0 0 0 -190
3964266 0 0 54 15 61 52 60 0 -500 0 0 0 -173
3964523 0 0 57 21 60 53 59 0 -652 0 0 0 -168
3965294 0 0 54 16 23 52 59 0 -592 0 0 0 -145
3965551 0 0 53 22 42 52 59 0 -576 0 0 0 -176
3966322 0 0 57 20 34 48 60 0 -544 0 0 0 -142
3966579 0 0 56 24 31 47 59 0 -452 0 0 0 -205
3967607 0 0 56 20 31 54 58 0 -740 0 0 0 -141
3967864 0 0 54 19 27 53 59 0 -596 0 0 0 -211
3968892 0 0 56 25 29 55 59 0 -532 0 0 0 -211
3969149 0 0 56 24 29 57 59 0 -532 0 0 0 -168
3970177 0 0 55 19 31 55 59 0 -552 0 0 0 -136
3970948 -2 0 54 16 28 49 58 0 -2676 0 0 0 -846
3971205 19 4 52 13 28 2 58 0 120 0 0 0 -1523
3971976 25 28 47 22 29 60 58 0 -548 0 0 0 59
3973004 19 20 52 11 30 46 56 0 -1996 0 0 0 96
3973261 19 19 55 20 33 39 57 0 -564 0 0 0 -91
3974289 21 22 55 21 34 34 59 0 -1308 0 0 0 -36
3974546 20 20 56 30 34 18 58 0 -200 0 0 0 -66
3975317 20 20 56 25 35 39 58 0 -1376 0 0 0 -87
3975574 20 20 56 25 35 25 58 0 -1020 0 0 0 -166
3976345 21 21 60 25 33 40 58 0 -1716 0 0 0 -93
3977373 19 19 56 22 35 38 59 0 -348 0 0 0 -183
3978401 22 21 58 40 38 46 58 0 -128 0 0 0 -261
3978658 20 20 56 29 39 41 57 0 -1824 0 0 0 -100
3979686 21 20 57 41 44 39 59 0 -560 0 0 0 -175
3979943 22 22 57 37 43 32 56 0 -1040 0 0 0 -305
3980457 19 20 60 44 43 39 57 0 -40 0 0 0 -90
3981742 21 21 57 44 45 41 56 0 584 0 0 0 -210
3982770 22 22 60 42 47 44 56 0 164 0 0 0 -116
3983027 25 24 53 50 49 42 56 0 -984 0 0 0 -357
3983798 22 20 59 48 54 59 57 0 -460 0 0 0 -303
3984055 21 19 58 44 56 59 55 0 184 0 0 0 -252
3984826 20 20 78 50 59 57 56 0 -356 0 0 0 -177
3985854 21 21 59 45 65 17 53 0 -1360 0 0 0 63
3986111 19 20 59 46 66 1 53 0 180 0 0 0 -5
3987139 21 22 64 50 76 2 54 0 -480 0 0 0 -250
3987396 21 21 55 53 78 2 54 0 676 0 0 0 -114
3988167 20 21 66 57 89 37 55 0 -536 0 0 0 -106
3989195 18 18 60 56 102 83 51 0 -1044 0 0 0 -102
3989452 19 20 62 58 109 83 52 0 -264 0 0 0 -109
3990223 21 21 65 57 126 76 52 0 -800 0 0 0 -157
3990480 22 22 63 59 135 67 52 0 -68 0 0 0 -122
3991251 21 22 60 56 163 77 47 0 -728 0 0 0 -199
3991508 20 18 65 1 171 82 52 0 -1276 0 0 0 -237
3992536 23 22 67 2 201 114 91 0 -1040 0 0 0 -66
3993821 19 19 65 40 150 129 72 0 -980 0 0 0 -178
3994849 0 0 69 18 9 2 57 0 -552 0 0 0 -154
3995106 0 0 68 18 9 1 56 0 -392 0 0 0 -142
