t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
4359275 0 -7304 100.000000 0.000000 0.008697 100.000000 0.000000 0.071826 100.000000 0.000000 0.016920 100.000000 0 0 -7304 0 7304.000000 0.000000 0.008697 100.000000
4359789 0 -7296 100.000000 0.000000 0.012669 100.000000 0.000000 0.031125 100.000000 0.000000 0.024648 100.000000 0 0 -14600 -63 14600.135742 0.000000 0.021366 100.000000
4360303 0 -7300 100.000000 0.000000 0.013902 100.000000 0.000000 -0.014365 100.000000 0.000000 0.027046 100.000000 0 0 -21898 -219 21899.095703 0.000000 0.035268 100.000000
4360817 0 -7292 100.000000 0.000000 0.009724 100.000000 0.000000 0.031125 100.000000 0.000000 0.018919 100.000000 0 0 -29185 -476 29188.880859 0.000000 0.044992 100.000000
4361331 0 -7275 100.000000 0.000000 0.013491 100.000000 0.000000 0.062249 100.000000 0.000000 0.026247 100.000000 0 0 -36453 -803 36461.843750 0.000000 0.058483 100.000000
4361845 0 -7257 100.000000 0.000000 0.010341 100.000000 0.000000 0.067038 100.000000 0.000000 0.020118 100.000000 0 0 -43698 -1227 43715.222656 0.000000 0.068823 100.000000
4363130 0 -17958 100.000000 0.000000 0.025338 100.000000 0.000000 0.112527 100.000000 0.000000 0.019718 100.000000 0 0 -61613 -2462 61662.171875 0.000000 0.094161 100.000000
4363387 0 -3566 100.000000 0.000000 0.005376 100.000000 0.000000 0.385466 100.000000 0.000000 0.020917 100.000000 0 0 -65163 -2797 65223.000000 0.000000 0.099537 100.000000
4364158 31 -11182 36171.523438 0.002541 0.014278 461.918640 0.052150 -0.814029 1660.941895 0.003296 0.018519 461.918579 31 0 -76290 -3908 76420.984375 0.002541 0.113815 4379.178711
4364415 27 -3753 13998.860352 -0.002547 0.005033 297.605316 0.252338 -0.383072 251.809265 -0.009911 0.019585 297.605316 58 0 -80018 -4334 80193.203125 -0.000006 0.118849 1921326.000000
4365443 23 -16099 70094.507813 -0.002556 0.020544 903.905701 -0.080433 -1.029507 1179.960205 -0.002486 0.019985 903.905762 81 0 -96003 -6243 96286.609375 -0.002562 0.139393 5541.329102
4366471 25 -16544 66276.171875 0.000000 0.020955 Infinity 0.001893 -0.421380 22365.355469 0.000000 0.020384 100.000000 106 0 -112387 -8542 112816.843750 -0.002562 0.160348 6359.333008
4367242 26 -12169 46903.593750 -0.007647 0.014895 294.775360 0.012196 0.402226 3197.925049 -0.009918 0.019319 294.775330 132 0 -124400 -10485 124972.617188 -0.010209 0.175243 1816.582886
4367499 24 -4051 16978.894531 0.000000 0.004383 Infinity 0.232151 0.081403 64.935371 0.000000 0.017054 100.000000 156 0 -128389 -11191 129031.218750 -0.010209 0.179625 1859.514282
4368270 25 -11934 47834.515625 0.002551 0.018695 632.854736 -0.079066 0.368707 566.328918 0.003309 0.024248 632.854736 181 0 -140131 -13323 140943.109375 -0.007658 0.198321 2689.791992
4368527 26 -3952 15299.777344 0.002549 0.003972 55.820282 0.267478 0.392649 46.796684 0.009918 0.015455 55.820297 207 0 -144005 -14102 144899.843750 -0.005109 0.202292 4059.717285
4369812 25 -20748 83092.203125 0.000000 0.025338 Infinity -0.063589 -0.598550 841.277588 0.000000 0.019718 100.000000 232 0 -164330 -18271 165573.187500 -0.005109 0.227630 4555.687012
4370583 24 -12092 50481.687500 0.002553 0.018695 632.231628 0.015140 0.600945 3869.178711 0.003312 0.024248 632.231628 256 0 -176110 -21000 177611.843750 -0.002556 0.246326 9738.779297
4371611 23 -15436 67215.078125 -0.005000 0.020270 505.406708 -0.008516 0.648829 7718.573730 -0.004864 0.019718 505.406708 279 0 -191081 -24764 192955.718750 -0.007556 0.266596 3628.470703
4371868 24 -3837 16089.384766 0.002553 0.006163 141.395020 0.276310 0.328006 18.709282 0.009935 0.023982 141.395035 303 0 -194783 -25775 196781.343750 -0.005002 0.272759 5552.593262
4372639 25 -11384 45637.074219 0.005000 0.015511 210.218307 -0.079066 0.215478 372.529938 0.006485 0.020118 210.218292 328 0 -205746 -28842 208082.562500 -0.000002 0.288270 12124180.000000
4372896 25 -3768 15171.492188 0.002551 0.004691 83.884819 0.252338 0.407014 61.297321 0.009926 0.018253 83.884796 353 0 -209358 -29913 211833.640625 0.002549 0.292961 11394.791016
4373667 25 -10844 43475.687500 0.000000 0.020544 Infinity -0.084113 0.773327 1019.394775 0.000000 0.026646 100.000000 378 0 -219740 -33045 222584.609375 0.002549 0.313505 12200.876953
4373924 26 -3582 13875.347656 0.002549 0.005924 132.387131 0.267478 0.500388 87.076256 0.009918 0.023049 132.387161 404 0 -223147 -34150 226144.359375 0.005098 0.319429 6166.186523
4374695 25 -10853 43511.742188 -0.002551 0.017874 800.641418 -0.089159 -0.181959 104.083191 -0.003309 0.023182 800.641357 429 0 -233451 -37558 236876.468750 0.002547 0.337303 13144.992188
4374952 25 -3584 14435.848633 0.000000 0.005547 Infinity 0.252338 0.509965 102.096054 0.000000 0.021583 100.000000 454 0 -236833 -38744 240429.234375 0.002547 0.342849 13362.806641
4375723 26 -10897 42011.750000 0.002549 0.020133 689.847717 -0.082430 -0.244209 196.260376 0.003306 0.026113 689.847778 480 0 -247096 -42407 251181.656250 0.005096 0.362983 7023.370117
4376751 25 -15531 62225.390625 0.002551 0.021503 742.917175 -0.009147 -0.948104 10264.908203 0.002482 0.020917 742.917175 505 0 -261615 -47922 266464.656250 0.007647 0.384486 4928.139648
4377008 25 -3854 15514.959961 -0.002551 0.006574 357.707153 0.283880 0.440533 55.182793 -0.009926 0.025580 357.707153 530 0 -265187 -49367 270264.000000 0.005096 0.391060 7574.371094
4378036 25 -15855 63520.824219 0.002551 0.024790 871.770752 -0.070970 -0.416591 486.995758 0.002482 0.024115 871.770752 555 0 -279845 -55411 285822.562500 0.007647 0.415850 5338.307617
4378293 25 -3936 15844.512695 0.002551 0.005239 105.360413 0.283880 0.418985 47.592316 0.009926 0.020384 105.360397 580 0 -283446 -57001 289689.281250 0.010198 0.421089 4029.252197
4379064 24 -12067 50380.871094 0.002553 0.019312 656.371094 -0.085795 -0.435745 407.891235 0.003312 0.025047 656.371094 604 0 -294459 -61934 301492.937500 0.012751 0.440400 3353.879150
4380092 25 -17140 68659.570313 0.002551 0.022736 791.237244 -0.006624 -0.993594 14900.198242 0.002482 0.022116 791.237244 629 0 -309963 -69241 318216.437500 0.015302 0.463136 2926.654785
4380349 25 -4300 17298.085938 0.005000 0.007293 45.864231 0.283880 -0.220267 177.591400 0.019455 0.028378 45.864231 654 0 -313810 -71162 322415.312500 0.020302 0.470429 2217.167480
4381120 25 -13172 52787.285156 -0.002551 0.018079 808.694763 -0.084113 -0.459687 446.513306 -0.003309 0.023449 808.694763 679 1 -325551 -77132 335224.562500 0.017751 0.488508 2652.020996
4382405 25 -23309 93336.156250 0.002551 0.025680 906.668640 -0.010094 -0.821211 8036.025879 0.001985 0.019985 906.668640 704 1 -346134 -88071 357845.312500 0.020302 0.514189 2432.709961
4383176 26 -13688 52746.046875 -0.002549 0.012121 575.520508 0.018505 0.500388 2604.102051 -0.003306 0.015721 575.520508 730 2 -358052 -94803 371096.375000 0.017753 0.526310 2864.641846
4383433 25 -4599 18494.214844 0.002551 0.005239 105.360413 0.247291 -0.543484 319.774872 0.009926 0.020384 105.360397 755 2 -362028 -97113 375556.687500 0.020304 0.531549 2517.960693
4384461 23 -18797 81823.953125 -0.005000 0.020270 505.406708 -0.072863 -0.380678 422.460419 -0.004864 0.019718 505.406708 778 2 -378231 -106640 393726.218750 0.015304 0.551819 3505.736572
4384718 24 -4757 19920.195313 0.002553 0.007841 207.108124 0.276310 -0.873884 416.269257 0.009935 0.030510 207.108139 802 2 -382282 -109134 398326.531250 0.017857 0.559660 3034.101563
4385746 23 -20151 87712.070313 -0.005000 0.023420 568.409058 -0.069077 -1.063026 1438.888306 -0.004864 0.022783 568.409119 825 2 -399358 -119832 417739.906250 0.012857 0.583080 4435.082031
4386774 25 -20439 81856.843750 0.005000 0.016025 220.490402 0.001893 -0.272939 14521.877930 0.004864 0.015588 220.490433 850 2 -416420 -131086 437376.625000 0.017857 0.599105 3254.994141
4387545 25 -15136 60643.406250 -0.002551 0.017565 788.561340 0.010514 0.325611 2996.907715 -0.003309 0.022783 788.561340 875 2 -428920 -139621 451905.218750 0.015306 0.616670 3928.921387
4387802 24 -5040 21099.613281 0.000000 0.002876 Infinity 0.237198 0.081403 65.681419 0.000000 0.011191 100.000000 899 2 -433032 -142536 456741.937500 0.015306 0.619546 3947.713135
4388573 25 -14940 59861.589844 -0.002551 0.017360 780.508057 -0.079066 0.301669 481.541870 -0.003309 0.022516 780.507996 924 2 -445196 -151211 471050.343750 0.012755 0.636906 4893.360352
4388830 25 -4944 19875.677734 -0.005000 0.004588 191.764359 0.252338 0.548272 117.276970 -0.019455 0.017853 191.764359 949 2 -449171 -154151 475784.781250 0.007755 0.641495 8171.942871
4389601 25 -14435 57838.734375 0.000000 0.022907 Infinity -0.084113 0.667982 894.152161 0.000000 0.029711 100.000000 974 2 -460736 -162789 489568.218750 0.007755 0.664401 8467.322266
4390629 26 -18758 72245.859375 -0.002549 0.028899 1233.726929 -0.006939 0.462081 6758.904297 -0.002480 0.028112 1233.726929 1000 2 -475504 -174355 507401.625000 0.005206 0.693300 13217.213867
4390886 25 -4658 18732.048828 0.000000 0.006780 Infinity 0.280095 0.476446 70.101570 0.000000 0.026380 100.000000 1025 2 -479087 -177332 511815.281250 0.005206 0.700080 13347.439453
4391914 25 -17812 71349.117188 -0.002551 0.025749 1109.353027 -0.070970 0.775721 1193.026489 -0.002482 0.025047 1109.353027 1050 2 -492710 -188808 528628.562500 0.002655 0.725829 27237.912109
4392171 23 -4421 19320.916016 -0.005000 0.005068 201.351685 0.253600 0.488417 92.593819 -0.019455 0.019718 201.351669 1073 2 -496017 -191742 532789.125000 -0.002345 0.730896 31268.636719
4392942 24 -13012 54316.437500 0.002553 0.017360 579.929321 -0.075701 0.421379 656.633911 0.003312 0.022516 579.929321 1097 2 -505705 -200428 544995.812500 0.000208 0.748256 359262.156250
4393199 24 -4301 18021.259766 -0.007660 0.005513 171.971481 0.242244 0.548272 126.330185 -0.029804 0.021450 171.971466 1121 2 -508857 -203354 549027.500000 -0.007451 0.753769 10215.863281
4393970 25 -12937 51849.851563 0.002551 0.023112 806.001770 -0.079066 -0.057461 27.325359 0.003309 0.029977 806.001770 1146 2 -518290 -212208 561112.125000 -0.004900 0.776881 15953.631836
