t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
68607591 0 0 3325 3325 777 3325 709 -0.174777 0.014365 10.922348 0.012391 -0.051560 -0.017587
68608591 0 0 3325 3325 791 3325 709 -0.148441 0.014365 11.022904 0.011191 -0.049962 -0.018786
68609591 0 0 3325 3325 749 3325 697 -0.165200 0.026336 11.001357 0.012923 -0.050894 -0.019452
68610591 0 0 3325 3325 762 3325 722 -0.122104 -0.035913 10.903194 0.017720 -0.055557 -0.017187
68611591 0 0 3325 3325 749 3325 709 -0.138864 0.035913 10.989386 0.012657 -0.050495 -0.019985
68612591 0 0 3325 3325 762 3325 709 -0.143652 0.023942 10.943895 0.010392 -0.052093 -0.017054
68613591 0 0 3192 3325 762 3325 709 -0.146046 0.000000 10.898406 0.017453 -0.056357 -0.019452
68614591 0 0 3325 3325 762 3325 709 -0.153229 -0.045490 10.919953 0.013856 -0.050628 -0.016654
68615591 0 0 3325 3325 762 3325 709 -0.119710 -0.021548 10.929530 0.014123 -0.053026 -0.016920
68616591 0 0 3325 3325 762 3325 709 -0.122104 -0.021548 10.900800 0.015188 -0.049962 -0.018119
68617591 0 0 3325 3325 762 3325 709 -0.174777 -0.035913 10.965444 0.018253 -0.053959 -0.017054
68618591 0 0 3325 3325 777 3325 709 -0.112527 0.000000 10.884041 0.016920 -0.052360 -0.020784
68619591 0 0 3325 3325 762 3325 722 -0.122104 -0.110133 10.965444 0.015855 -0.054625 -0.016787
68620591 0 0 3325 3325 762 3325 709 -0.160412 -0.002394 10.936713 0.013323 -0.053292 -0.016254
68621591 0 0 3325 3325 762 3325 709 -0.095768 -0.021548 10.907983 0.013190 -0.053825 -0.018919
68622591 0 0 3325 3325 749 3325 709 -0.169988 -0.007183 10.931925 0.013057 -0.053026 -0.019052
68623591 0 0 3325 3325 762 3325 709 -0.165200 0.045490 10.931925 0.014789 -0.055557 -0.017986
68624591 0 0 3325 3325 762 3325 709 -0.102951 0.031125 10.998962 0.013190 -0.050628 -0.019185
68625591 0 0 3325 3325 762 3325 709 -0.110133 -0.014365 10.931925 0.017054 -0.054225 -0.015855
68626591 0 0 3325 3325 762 3325 697 -0.153229 -0.050278 10.893618 0.016387 -0.053959 -0.018519
68627591 0 0 3325 3325 777 3325 722 -0.122104 0.021548 10.927136 0.016387 -0.051560 -0.015188
68628591 0 0 3325 3325 762 3325 709 -0.100556 -0.031125 10.874464 0.013989 -0.058222 -0.019851
68629591 0 0 3325 3325 777 3325 709 -0.165200 0.007183 10.852916 0.013590 -0.054891 -0.018786
68630591 0 0 3325 3325 762 3325 709 -0.174777 0.002394 10.893618 0.009726 -0.051694 -0.018652
68631591 0 0 3325 3325 762 3325 697 -0.158017 -0.004788 10.915165 0.012257 -0.051560 -0.019851
68632591 0 0 3325 3325 762 3325 709 -0.146046 0.035913 10.874464 0.009193 -0.053159 -0.019851
68633591 0 0 3325 3325 762 3325 709 -0.177171 0.064643 10.891223 0.009992 -0.050361 -0.018253
68634591 0 0 3325 3325 762 3325 709 -0.117316 -0.002394 10.943895 0.010392 -0.051161 -0.017720
68635591 0 0 3325 3325 762 3325 697 -0.119710 -0.007183 10.941502 0.016521 -0.055557 -0.019452
68636591 0 0 3325 3325 762 3325 709 -0.146046 -0.033519 10.891223 0.016254 -0.055424 -0.018119
68637591 0 0 3325 3325 762 3325 697 -0.181959 -0.011971 10.946290 0.015988 -0.054625 -0.016920
68638591 0 0 3325 3325 777 3325 685 -0.114922 0.014365 11.001357 0.010525 -0.051294 -0.019185
68639591 0 0 3325 3325 762 3325 697 -0.102951 -0.028730 10.953472 0.018652 -0.052760 -0.017720
68640591 0 0 3325 3325 762 3325 685 -0.150835 -0.014365 10.857704 0.010126 -0.051028 -0.019052
68641591 0 0 3258 3325 762 3325 685 -0.162806 -0.021548 10.910377 0.015188 -0.055025 -0.018652
68642591 0 0 3325 3325 762 3325 685 -0.122104 -0.009577 10.900800 0.018119 -0.055158 -0.019185
68643591 0 0 3325 3325 762 3325 685 -0.114922 0.002394 10.852916 0.017187 -0.053559 -0.016787
68644591 0 0 3325 3325 762 3325 685 -0.143652 -0.050278 10.884041 0.012923 -0.052227 -0.018519
68645591 0 0 3325 3325 777 3325 697 -0.181959 -0.021548 10.934319 0.014789 -0.050228 -0.017720
68646591 0 0 3325 3325 762 3325 697 -0.122104 -0.011971 10.936713 0.010792 -0.051427 -0.021317
68647591 0 0 3325 3325 762 3325 697 -0.203507 0.019154 10.934319 0.013590 -0.053692 -0.018253
68648591 0 0 3325 3325 777 3325 685 -0.071826 0.009577 10.960655 0.016521 -0.054492 -0.018786
68649591 0 0 3325 3325 777 3325 697 -0.088585 0.023942 10.888829 0.015988 -0.053559 -0.018786
68650591 0 0 3325 3325 762 3325 685 -0.098162 0.014365 10.927136 0.011591 -0.048629 -0.018386
68651591 0 0 3325 3325 777 3325 685 -0.126893 0.021548 10.915165 0.012124 -0.051294 -0.020784
68652591 0 0 3325 3325 762 3325 697 -0.165200 -0.014365 10.881646 0.012657 -0.051694 -0.018519
68653591 0 0 3325 3325 749 3325 673 -0.196325 0.023942 10.898406 0.011058 -0.048896 -0.020518
68654591 0 0 3325 3325 762 3325 697 -0.143652 0.002394 10.967837 0.015721 -0.052493 -0.016521
68655591 0 0 3325 3325 685 3325 697 -0.148441 -0.007183 10.867281 0.016387 -0.055025 -0.020118
68656591 0 0 3325 3325 762 3325 697 -0.155623 0.035913 10.903194 0.016654 -0.055291 -0.019718
68657591 0 0 3325 3325 762 3325 685 -0.186748 0.007183 11.054029 0.016787 -0.051694 -0.015988
68658591 0 0 3325 3325 762 3325 685 -0.138864 -0.026336 11.061212 0.016920 -0.054092 -0.018919
68659591 0 0 3325 3325 762 3325 685 -0.124498 0.004788 10.900800 0.009193 -0.049429 -0.015455
68660591 0 0 3325 3325 777 3325 685 -0.158017 -0.050278 10.951078 0.017054 -0.053559 -0.017054
68661591 0 0 3325 3325 762 3325 685 -0.062249 -0.038307 10.931925 0.015322 -0.052227 -0.020384
68662591 0 0 3325 3325 762 3325 685 -0.138864 0.050278 10.951078 0.012524 -0.051427 -0.016787
68663591 0 0 3325 3325 777 3325 697 -0.153229 -0.047884 10.927136 0.015721 -0.052493 -0.017720
68664591 0 0 3325 3325 749 3325 697 -0.090980 -0.014365 10.919953 0.011058 -0.051427 -0.017187
68665591 0 0 3258 3325 762 3325 685 -0.167594 0.016759 11.015722 0.014655 -0.050894 -0.017587
68666591 0 0 3325 3325 762 3325 697 -0.165200 -0.052672 10.905588 0.013190 -0.053559 -0.019851
68667591 0 0 3325 3325 762 3325 697 -0.162806 -0.045490 10.955867 0.013590 -0.054225 -0.019452
68668591 0 0 3325 3325 762 3325 709 -0.150835 0.011971 10.994174 0.015855 -0.054225 -0.019319
68669591 0 0 3325 3325 762 3325 685 -0.124498 -0.028730 10.886435 0.010126 -0.050761 -0.019585
68670591 0 0 3325 3325 762 3325 685 -0.138864 0.007183 10.857704 0.011724 -0.054225 -0.019718
68671591 0 0 3325 3325 762 3325 685 -0.126893 -0.045490 10.905588 0.011458 -0.049828 -0.020917
68672591 0 0 3325 3325 762 3325 697 -0.205901 -0.059855 10.936713 0.013323 -0.051560 -0.017453
68673591 0 0 3325 3325 777 3325 697 -0.141258 -0.033519 10.905588 0.008394 -0.047697 -0.017853
68674591 0 0 3325 3325 762 3325 697 -0.098162 0.000000 10.989386 0.012657 -0.053426 -0.024381
68675591 0 0 3325 3325 762 3325 685 -0.126893 -0.016759 10.963049 0.019452 -0.058622 -0.018386
68676591 0 0 3325 3325 777 3325 685 -0.143652 0.000000 11.008539 0.012790 -0.051427 -0.017054
68677591 0 0 3325 3325 762 3325 697 -0.155623 0.000000 10.967837 0.012657 -0.049162 -0.015055
68678591 0 0 3325 3325 762 3325 685 -0.126893 0.028730 10.965444 0.013590 -0.053692 -0.017453
68679591 0 0 3258 3325 762 3325 685 -0.191536 0.064643 10.915165 0.011591 -0.049029 -0.020118
68680591 0 0 3325 3325 777 3325 685 -0.150835 -0.086191 10.807426 0.016254 -0.052360 -0.018786
68681591 0 0 3325 3325 762 3325 697 -0.138864 0.014365 10.915165 0.012257 -0.050761 -0.019319
68682591 0 0 3325 3325 762 3325 697 -0.136469 -0.016759 10.972626 0.014789 -0.052227 -0.019585
68683591 0 0 3325 3325 762 3325 697 -0.126893 -0.007183 10.876858 0.014655 -0.053559 -0.019052
68684591 0 0 3325 3325 777 3325 697 -0.095768 0.016759 10.922348 0.016787 -0.054758 -0.016521
68685591 0 0 3325 3325 762 3325 685 -0.186748 -0.028730 10.936713 0.012790 -0.052760 -0.017720
68686591 0 0 3325 3325 762 3325 685 -0.134075 -0.002394 10.891223 0.018786 -0.053026 -0.017853
68687591 0 0 3325 3325 762 3325 685 -0.134075 -0.033519 10.884041 0.015988 -0.056224 -0.016521
68688591 0 0 3325 3325 762 3325 673 -0.165200 -0.011971 10.862493 0.008527 -0.050894 -0.019985
68689591 0 0 3325 3325 762 3325 697 -0.129287 -0.062249 11.030087 0.013590 -0.053825 -0.016387
68690591 0 0 3325 3325 762 3325 685 -0.129287 0.000000 10.927136 0.016787 -0.056090 -0.018652
68691591 0 0 3325 3325 777 3325 697 -0.184354 -0.028730 10.896011 0.010792 -0.052360 -0.020917
68692591 0 0 3325 3325 777 3325 697 -0.126893 0.016759 10.872069 0.017587 -0.057156 -0.016920
68693591 0 0 3325 3325 762 3325 685 -0.225055 0.007183 10.946290 0.014522 -0.049962 -0.018786
68694591 0 0 3325 3325 762 3325 685 -0.086191 0.004788 10.891223 0.010792 -0.053959 -0.022916
68695591 0 0 3325 3325 777 3325 685 -0.150835 -0.055067 10.977415 0.016787 -0.054358 -0.018786
68696591 0 0 3325 3325 762 3325 685 -0.201113 0.014365 10.919953 0.018386 -0.054358 -0.018253
68697591 0 0 3325 3325 777 3325 685 -0.124498 -0.011971 10.948684 0.017054 -0.053292 -0.019718
68698591 0 0 3325 3325 762 3325 697 -0.124498 0.004788 10.960655 0.015855 -0.054758 -0.015855
68699591 0 0 3325 3325 762 3325 697 -0.124498 0.023942 10.919953 0.013590 -0.053159 -0.018119
68700591 0 0 3325 3325 777 3325 685 -0.208296 0.000000 10.927136 0.011858 -0.049162 -0.015322
68701591 0 0 3325 3325 762 3325 697 -0.095768 -0.021548 10.919953 0.009459 -0.053426 -0.021450
68702591 0 0 3325 3325 762 3325 697 -0.143652 -0.019154 10.905588 0.009193 -0.049029 -0.018119
68703591 0 0 3258 3325 762 3325 685 -0.165200 -0.052672 10.860099 0.011325 -0.050495 -0.016787
68704591 0 0 3325 3325 777 3325 697 -0.076614 0.004788 10.879252 0.015855 -0.052893 -0.017587
68705591 0 0 3325 3325 762 3325 685 -0.105345 0.004788 10.910377 0.011591 -0.051028 -0.017453
68706591 0 0 3325 3325 762 3325 673 -0.148441 -0.028730 10.979809 0.014123 -0.054492 -0.019585
68707591 0 0 3325 3325 777 3325 697 -0.160412 0.014365 10.936713 0.018519 -0.053426 -0.019185
68708591 0 0 3325 3325 777 3325 697 -0.124498 -0.014365 10.869676 0.012524 -0.051427 -0.020384
68709591 0 0 3192 3325 762 3325 709 -0.150835 -0.016759 10.876858 0.017587 -0.056224 -0.018652
68710591 0 0 3325 3325 749 3325 685 -0.119710 -0.035913 10.989386 0.016920 -0.053026 -0.016787
68711591 0 0 3325 3325 762 3325 697 -0.124498 0.043096 11.113884 0.013057 -0.049429 -0.016920
68712591 0 0 3325 3325 762 3325 709 -0.160412 -0.014365 10.936713 0.016387 -0.054225 -0.018786
68713591 0 0 3325 3325 762 3325 709 -0.124498 -0.009577 10.955867 0.014922 -0.054891 -0.016787
68714591 0 0 3325 3325 762 3325 709 -0.181959 0.000000 10.919953 0.008926 -0.050228 -0.018386
68715591 0 0 3325 3325 762 3325 709 -0.169988 0.007183 10.967837 0.016787 -0.055291 -0.017853
