t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
197084591 0 0 8 1 52 1 51 -340 -200 18332 127 -400 -139
197085591 0 0 8 1 51 1 51 -364 -200 18248 122 -402 -142
197086591 0 0 9 1 53 1 49 -408 -144 18192 99 -356 -147
197087591 0 0 9 1 53 1 50 -432 -248 18188 96 -403 -136
197088591 0 0 15 1 51 1 50 -400 -40 18376 111 -408 -147
197089591 0 0 8 1 53 1 51 -448 -172 18380 95 -409 -141
197090591 0 0 14 1 51 1 50 -308 -96 18260 100 -377 -149
197091591 0 0 14 1 53 1 51 -308 -244 18292 119 -443 -136
197092591 0 0 10 1 53 1 51 -396 -152 18184 88 -418 -144
197093591 0 0 5 1 53 1 49 -424 -176 18272 114 -395 -129
197094591 0 0 16 1 54 1 51 -592 -188 18260 100 -385 -138
197095591 0 0 8 1 53 1 51 -476 -108 18312 123 -394 -154
197096591 0 0 14 1 53 1 50 -420 -196 18308 146 -406 -138
197097591 0 0 14 1 52 1 49 -348 -228 18276 89 -391 -141
197098591 0 0 8 1 52 1 51 -408 -160 18164 88 -388 -151
197099591 0 0 13 1 53 1 51 -396 -200 18220 104 -391 -141
197100591 0 0 9 1 53 1 49 -452 -128 18156 110 -389 -148
197101591 0 0 5 1 53 1 51 -448 -164 18396 86 -382 -154
197102591 0 0 6 1 53 1 51 -488 -60 18256 146 -419 -150
197103591 0 0 11 1 52 1 50 -276 -172 18088 143 -395 -135
197104591 0 0 13 1 53 1 51 -516 -180 18296 93 -380 -158
197105591 0 0 13 1 53 1 50 -392 -116 18284 111 -391 -144
197106591 0 0 11 1 53 1 50 -384 -112 18232 111 -400 -129
197107591 0 0 12 1 52 1 51 -416 -208 18292 101 -393 -153
197108591 0 0 11 1 53 1 50 -464 -228 18316 109 -403 -137
197109591 0 0 6 1 53 1 51 -476 -160 18276 128 -401 -145
197110591 0 0 14 1 53 1 50 -432 -180 18272 95 -370 -136
197111591 0 0 8 1 52 1 49 -480 -120 18236 83 -401 -138
197112591 0 0 6 1 52 1 49 -424 -240 18224 112 -399 -133
197113591 0 0 8 1 53 1 51 -392 -216 18256 97 -398 -155
197114591 0 0 9 1 52 1 51 -336 -240 18296 102 -412 -146
197115591 0 0 12 1 53 1 50 -492 -112 18144 109 -409 -139
197116591 0 0 10 1 53 1 51 -404 -188 18268 93 -371 -175
197117591 0 0 8 1 53 1 50 -512 -256 18192 135 -386 -141
197118591 0 0 13 1 53 1 50 -428 -124 18336 118 -430 -152
197119591 0 0 13 1 53 1 51 -452 -212 18208 135 -403 -148
197120591 0 0 11 1 53 1 51 -384 -140 18256 95 -389 -136
197121591 0 0 6 1 53 1 51 -440 -164 18176 117 -403 -148
197122591 0 0 11 1 53 1 51 -412 -196 18316 98 -406 -143
197123591 0 0 11 1 53 1 51 -500 -200 18248 99 -414 -145
197124591 0 0 9 1 52 1 50 -476 -196 18316 142 -397 -142
197125591 0 0 12 1 53 1 52 -424 -168 18256 82 -378 -136
197126591 0 0 9 1 51 1 51 -420 -212 18360 144 -419 -133
197127591 0 0 8 1 51 1 50 -432 -152 18476 138 -418 -136
197128591 47 48 11 1 53 1 46 112 -1096 17952 -211 -526 425
197129591 83 90 11 1 59 1 46 -212 -620 18888 -284 -231 181
197130591 84 90 22 1 66 1 50 -1024 612 17336 170 -300 229
197131591 80 90 25 1 76 1 48 -1088 -380 17524 -25 -764 2471
197132591 23 90 55 1 30 1 28 -1300 164 19544 -198 -594 6481
197133591 -71 90 54 1 46 1 99 -324 3000 16880 -41 -502 7687
197134591 -77 90 2 1 59 1 28 -2308 -2180 19576 -696 -340 6417
197135591 -5 8 29 1 62 1 28 -664 -40 18400 97 -368 -135
197136591 0 1 18 1 62 1 28 -652 -116 18228 99 -388 -135
197137591 25 29 22 1 63 1 28 1476 536 18224 20 -465 70
197138591 85 93 26 1 73 1 28 640 60 17564 166 -491 331
197139591 87 92 25 1 87 1 35 -688 -1520 18532 -104 -378 -163
197140591 87 90 42 1 101 1 38 360 -372 18056 -13 -397 -29
197141591 87 89 62 1 129 1 52 -1844 -400 19716 -69 -452 -62
197142591 48 48 85 1 150 1 55 -852 64 18092 -94 -378 -171
197143591 2 2 92 1 151 1 57 1244 2896 16648 593 -413 -2924
197144591 68 -57 150 1 121 1 29 448 -1904 18256 96 -669 -8070
197145591 76 -85 178 1 63 1 70 -1808 -1396 20172 835 -417 -1108
197146591 35 -39 165 1 11 1 80 -1056 20 17724 -232 -650 -3721
197147591 2 -4 162 1 54 1 76 -440 -224 18344 127 -393 -126
197148591 0 -1 164 1 56 1 78 -360 -168 18340 121 -407 -135
197149591 30 19 168 1 7 1 84 -560 300 18712 272 -509 287
197150591 83 88 181 1 1 1 107 476 -8 17480 -74 -792 187
197151591 86 89 191 1 42 1 87 -144 516 17736 116 -263 114
197152591 86 89 201 1 55 1 27 -72 -600 17760 -109 -329 204
197153591 86 46 201 1 61 1 26 -208 -60 17652 471 -331 -2405
197154591 82 68 203 1 42 1 28 -404 640 16768 580 -283 28
197155591 83 50 203 1 38 1 54 -68 -196 18652 -186 -423 -2143
197156591 82 42 193 1 53 1 23 724 -1896 17696 58 -205 -433
197157591 85 86 194 1 57 1 33 156 -376 18228 116 -198 249
197158591 85 90 195 1 57 1 49 -1356 440 19684 -91 -407 156
197159591 86 88 196 1 59 1 38 1108 -1156 17948 39 -949 235
197160591 86 90 198 1 65 1 41 432 -2004 17812 -136 -148 78
197161591 86 89 200 1 75 1 48 -864 448 18060 241 -245 227
197162591 86 89 203 1 92 1 58 -552 400 17196 2 -596 125
197163591 41 21 197 1 114 1 48 -940 -1084 19116 1056 -303 -7353
