t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz  
199336591 0 0 65 1 28 1 23 940 140 18268 51 -367 -140  
199337591 0 0 65 1 26 1 21 932 260 18232 73 -368 -145  
199338591 0 0 66 1 26 1 25 944 68 18404 100 -392 -137  
199339591 0 0 65 1 27 1 23 984 192 18244 66 -366 -142  3834
199340591 0 0 68 1 28 1 24 844 144 18236 30 -375 -133  1860
199341591 0 0 67 1 26 1 27 1032 208 18056 83 -384 -156  
199342591 0 0 70 1 26 1 23 1008 188 18288 132 -413 -120  1606.6285714286
199343591 0 0 70 1 24 1 23 920 240 18272 91 -386 -154  
199344591 0 0 64 1 27 1 23 920 224 18128 54 -374 -154  
199345591 0 0 65 1 26 1 25 960 168 18168 87 -382 -135  
199346591 0 0 68 1 27 1 22 920 128 18300 95 -409 -130  
199347591 0 0 66 1 26 1 24 964 204 18192 120 -420 -130  
199348591 0 0 67 1 26 1 25 956 188 18200 100 -383 -152  
199349591 0 0 68 1 27 1 23 872 348 18208 91 -362 -149  
199350591 0 0 67 1 25 1 25 968 208 18116 60 -385 -138  
199351591 0 0 69 1 26 1 23 972 140 18288 81 -373 -135  
199352591 0 0 70 1 26 1 23 964 312 18296 62 -380 -133  
199353591 0 0 65 1 26 1 23 964 280 18260 7 -403 -106  
199354591 0 0 71 1 26 1 23 1020 224 18256 80 -398 -128  
199355591 0 0 64 1 26 1 25 904 296 18316 66 -392 -160  
199356591 0 0 70 1 26 1 23 992 232 18024 109 -378 -153  
199357591 0 0 74 1 27 1 25 972 208 18200 109 -355 -155  
199358591 0 0 68 1 28 1 23 996 136 18132 77 -411 -148  
199359591 0 0 66 1 26 1 23 924 148 18184 85 -414 -128  
199360591 0 0 65 1 26 1 26 1028 116 18204 83 -363 -150  
199361591 0 0 64 1 26 1 23 836 76 18160 69 -400 -137  
199362591 0 0 65 1 26 1 23 924 260 18240 52 -394 -131  
199363591 0 0 66 1 26 1 23 996 128 18268 115 -409 -145  
199364591 0 0 71 1 26 1 24 940 228 18116 106 -391 -140  
199365591 0 0 68 1 28 1 26 888 48 18144 65 -374 -128  
199366591 0 0 65 1 25 1 23 876 32 18212 110 -369 -128  
199367591 0 0 67 1 26 1 25 820 172 18132 105 -390 -132  
199368591 0 0 67 1 25 1 23 1056 200 18252 58 -378 -148  
199369591 0 0 68 1 26 1 25 1012 172 18092 71 -391 -150  
199370591 0 0 64 1 25 1 24 980 396 18280 56 -358 -129  
199371591 0 0 67 1 26 1 23 940 272 18264 79 -371 -157  
199372591 0 0 66 1 26 1 25 1008 232 18260 91 -383 -162  
199373591 0 0 72 1 27 1 25 940 104 18000 119 -389 -148  
199374591 0 0 66 1 25 1 21 964 224 18220 120 -400 -148  
199375591 0 0 66 1 26 1 23 896 200 18160 73 -364 -145  
199376591 0 0 68 1 27 1 24 840 236 18080 87 -371 -145  
199377591 0 0 68 1 26 1 25 996 164 18248 104 -390 -134  
199378591 0 0 64 1 27 1 25 944 156 18148 57 -397 -138  
199379591 0 0 68 1 27 1 24 948 252 18264 111 -417 -157  
199380591 0 0 66 1 25 1 23 940 244 18188 64 -370 -121  
199381591 0 0 62 1 26 1 23 964 232 18136 95 -399 -163  
199382591 0 0 68 1 25 1 25 1008 188 18172 120 -410 -136  
199383591 0 0 70 1 26 1 23 1004 52 18316 89 -367 -143  
199384591 0 0 68 1 25 1 22 1000 184 18100 75 -383 -136  
199385591 0 0 65 1 26 1 25 960 172 18312 106 -393 -136  
199386591 0 0 68 1 26 1 25 1000 232 18136 48 -366 -152  
199387591 0 0 69 1 26 1 22 988 128 18208 64 -389 -142  
199388591 0 9 69 1 25 1 23 584 1088 18524 142 -358 -35  
199389591 19 54 68 1 26 1 23 812 1784 18300 104 -443 -14  
199390591 23 54 66 1 26 1 21 1076 -220 18328 98 -364 -140  
199391591 24 54 66 1 26 1 23 1260 -1084 18392 66 -354 -222  
199392591 24 53 68 1 26 1 23 900 1408 17624 -27 -392 -180  
199393591 25 52 71 1 27 1 27 512 1728 18848 63 -435 -11  
