t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
78380110 0 -169759 100.000000 0.000000 0.023848 100.000000 0.000000 -0.244209 100.000000 0.000000 0.023848 100.000000 0 0 -169759 0 169759.000000 0.000000 0.023848 100.000000
78381110 0 -169974 100.000000 0.000000 0.020118 100.000000 0.000000 -0.215478 100.000000 0.000000 0.020118 100.000000 0 0 -339685 -4053 339709.187500 0.000000 0.043966 100.000000
78382110 0 -170189 100.000000 0.000000 0.019718 100.000000 0.000000 -0.215478 100.000000 0.000000 0.019718 100.000000 0 0 -509710 -11533 509840.468750 0.000000 0.063685 100.000000
78383110 0 -170359 100.000000 0.000000 0.019851 100.000000 0.000000 -0.169988 100.000000 0.000000 0.019851 100.000000 0 0 -679724 -22375 680092.125000 0.000000 0.083536 100.000000
78384110 0 -170594 100.000000 0.000000 0.019052 100.000000 0.000000 -0.234632 100.000000 0.000000 0.019052 100.000000 0 0 -849723 -36609 850511.250000 0.000000 0.102588 100.000000
78385110 0 -170798 100.000000 0.000000 0.019319 100.000000 0.000000 -0.203507 100.000000 0.000000 0.019319 100.000000 0 0 -1019623 -54100 1021057.250000 0.000000 0.121907 100.000000
78386110 0 -171039 100.000000 0.000000 0.020118 100.000000 0.000000 -0.241814 100.000000 0.000000 0.020118 100.000000 0 0 -1189393 -74899 1191749.000000 0.000000 0.142025 100.000000
78387110 0 -171243 100.000000 0.000000 0.020518 100.000000 0.000000 -0.203507 100.000000 0.000000 0.020518 100.000000 0 0 -1358912 -99138 1362523.500000 0.000000 0.162542 100.000000
78388110 0 -171422 100.000000 0.000000 0.017720 100.000000 0.000000 -0.179565 100.000000 0.000000 0.017720 100.000000 0 0 -1528075 -126879 1533333.375000 0.000000 0.180262 100.000000
78389110 0 -171624 100.000000 0.000000 0.022116 100.000000 0.000000 -0.201113 100.000000 0.000000 0.022116 100.000000 0 0 -1696918 -157649 1704225.250000 0.000000 0.202378 100.000000
78390110 0 -171846 100.000000 0.000000 0.022783 100.000000 0.000000 -0.222661 100.000000 0.000000 0.022783 100.000000 0 0 -1865257 -192190 1875132.125000 0.000000 0.225161 100.000000
78391110 0 -172069 100.000000 0.000000 0.023315 100.000000 0.000000 -0.222661 100.000000 0.000000 0.023315 100.000000 0 0 -2032983 -230607 2046020.375000 0.000000 0.248476 100.000000
78392110 0 -172227 100.000000 0.000000 0.019585 100.000000 0.000000 -0.158017 100.000000 0.000000 0.019585 100.000000 0 0 -2199921 -272962 2216790.500000 0.000000 0.268061 100.000000
78393110 0 -172378 100.000000 0.000000 0.018786 100.000000 0.000000 -0.150835 100.000000 0.000000 0.018786 100.000000 0 0 -2366143 -318618 2387498.750000 0.000000 0.286847 100.000000
78394110 0 -172572 100.000000 0.000000 0.019985 100.000000 0.000000 -0.193930 100.000000 0.000000 0.019985 100.000000 0 0 -2531664 -367444 2558190.250000 0.000000 0.306832 100.000000
78395110 0 -172775 100.000000 0.000000 0.020518 100.000000 0.000000 -0.203507 100.000000 0.000000 0.020518 100.000000 0 0 -2696370 -419629 2728827.500000 0.000000 0.327349 100.000000
78396110 0 -173003 100.000000 0.000000 0.021317 100.000000 0.000000 -0.227449 100.000000 0.000000 0.021317 100.000000 0 0 -2860186 -475255 2899402.000000 0.000000 0.348666 100.000000
78397110 0 -173211 100.000000 0.000000 0.019052 100.000000 0.000000 -0.208296 100.000000 0.000000 0.019052 100.000000 0 0 -3022975 -534432 3069852.500000 0.000000 0.367718 100.000000
78398110 0 -173458 100.000000 0.000000 0.019052 100.000000 0.000000 -0.246603 100.000000 0.000000 0.019052 100.000000 0 0 -3184837 -596788 3240269.000000 0.000000 0.386770 100.000000
78399110 0 -173604 100.000000 0.000000 0.021850 100.000000 0.000000 -0.146046 100.000000 0.000000 0.021850 100.000000 0 0 -3345617 -662271 3410536.000000 0.000000 0.408620 100.000000
78400110 0 -173807 100.000000 0.000000 0.021583 100.000000 0.000000 -0.203507 100.000000 0.000000 0.021583 100.000000 0 0 -3505115 -731332 3580597.500000 0.000000 0.430204 100.000000
78401110 0 -174042 100.000000 0.000000 0.020917 100.000000 0.000000 -0.234632 100.000000 0.000000 0.020917 100.000000 0 0 -3663298 -803917 3750471.250000 0.000000 0.451121 100.000000
78402110 0 -174190 100.000000 0.000000 0.020118 100.000000 0.000000 -0.148441 100.000000 0.000000 0.020118 100.000000 0 0 -3820062 -879859 3920079.750000 0.000000 0.471239 100.000000
78403110 0 -174427 100.000000 0.000000 0.021051 100.000000 0.000000 -0.237026 100.000000 0.000000 0.021051 100.000000 0 0 -3975478 -959047 4089522.750000 0.000000 0.492289 100.000000
78404110 0 -174621 100.000000 0.000000 0.019319 100.000000 0.000000 -0.193930 100.000000 0.000000 0.019319 100.000000 0 0 -4129363 -1041581 4258700.500000 0.000000 0.511608 100.000000
78405110 0 -174784 100.000000 0.000000 0.019718 100.000000 0.000000 -0.162806 100.000000 0.000000 0.019718 100.000000 0 0 -4281767 -1127152 4427640.500000 0.000000 0.531326 100.000000
78406110 0 -174966 100.000000 0.000000 0.020784 100.000000 0.000000 -0.181959 100.000000 0.000000 0.020784 100.000000 0 0 -4432611 -1215803 4596326.500000 0.000000 0.552110 100.000000
78407110 0 -175155 100.000000 0.000000 0.019985 100.000000 0.000000 -0.189142 100.000000 0.000000 0.019985 100.000000 0 0 -4581741 -1307669 4764698.500000 0.000000 0.572095 100.000000
78408110 0 -175356 100.000000 0.000000 0.019052 100.000000 0.000000 -0.201113 100.000000 0.000000 0.019052 100.000000 0 0 -4729175 -1402606 4932788.000000 0.000000 0.591147 100.000000
78409110 0 -175567 100.000000 0.000000 0.019185 100.000000 0.000000 -0.210690 100.000000 0.000000 0.019185 100.000000 0 0 -4874948 -1500452 5100634.500000 0.000000 0.610332 100.000000
78410110 0 -175789 100.000000 0.000000 0.020518 100.000000 0.000000 -0.222661 100.000000 0.000000 0.020518 100.000000 0 0 -5019000 -1601204 5268227.000000 0.000000 0.630850 100.000000
78411110 0 -176031 100.000000 0.000000 0.021583 100.000000 0.000000 -0.241814 100.000000 0.000000 0.021583 100.000000 0 0 -5161150 -1705033 5435495.000000 0.000000 0.652433 100.000000
78412110 0 -176285 100.000000 0.000000 0.019052 100.000000 0.000000 -0.253785 100.000000 0.000000 0.019052 100.000000 0 0 -5301228 -1812060 5602372.500000 0.000000 0.671485 100.000000
78413110 0 -176489 100.000000 0.000000 0.021850 100.000000 0.000000 -0.203507 100.000000 0.000000 0.021850 100.000000 0 0 -5439401 -1921862 5768937.500000 0.000000 0.693335 100.000000
78414110 0 -176678 100.000000 0.000000 0.020651 100.000000 0.000000 -0.189142 100.000000 0.000000 0.020651 100.000000 0 0 -5575287 -2034778 5934993.500000 0.000000 0.713986 100.000000
78415110 0 -176905 100.000000 0.000000 0.019052 100.000000 0.000000 -0.227449 100.000000 0.000000 0.019052 100.000000 0 0 -5708984 -2150625 6100630.000000 0.000000 0.733038 100.000000
78416110 0 -177128 100.000000 0.000000 0.022383 100.000000 0.000000 -0.222661 100.000000 0.000000 0.022383 100.000000 0 0 -5840616 -2269147 6265925.500000 0.000000 0.755421 100.000000
78417110 0 -177336 100.000000 0.000000 0.019052 100.000000 0.000000 -0.208296 100.000000 0.000000 0.019052 100.000000 0 0 -5969714 -2390728 6430635.000000 0.000000 0.774473 100.000000
78418110 0 -177580 100.000000 0.000000 0.017587 100.000000 0.000000 -0.244209 100.000000 0.000000 0.017587 100.000000 0 0 -6096647 -2514917 6594991.500000 0.000000 0.792060 100.000000
78419110 0 -177808 100.000000 0.000000 0.020784 100.000000 0.000000 -0.227449 100.000000 0.000000 0.020784 100.000000 0 0 -6221536 -2641481 6759063.000000 0.000000 0.812844 100.000000
78420110 0 -178040 100.000000 0.000000 0.019585 100.000000 0.000000 -0.232238 100.000000 0.000000 0.019585 100.000000 0 0 -6343927 -2770782 6922618.000000 0.000000 0.832429 100.000000
78421110 0 -178241 100.000000 0.000000 0.021317 100.000000 0.000000 -0.201113 100.000000 0.000000 0.021317 100.000000 0 0 -6463898 -2902604 7085696.000000 0.000000 0.853746 100.000000
78422110 0 -178490 100.000000 0.000000 0.022649 100.000000 0.000000 -0.248997 100.000000 0.000000 0.022649 100.000000 0 0 -6581195 -3037140 7248196.000000 0.000000 0.876395 100.000000
78423110 0 -178698 100.000000 0.000000 0.020651 100.000000 0.000000 -0.208296 100.000000 0.000000 0.020651 100.000000 0 0 -6695549 -3174459 7409964.000000 0.000000 0.897046 100.000000
78424110 0 -178935 100.000000 0.000000 0.020518 100.000000 0.000000 -0.237026 100.000000 0.000000 0.020518 100.000000 0 0 -6807191 -3314295 7571155.500000 0.000000 0.917564 100.000000
78425110 0 -179144 100.000000 0.000000 0.019185 100.000000 0.000000 -0.208296 100.000000 0.000000 0.019185 100.000000 0 0 -6916067 -3456557 7731737.500000 0.000000 0.936749 100.000000
78426110 0 -179321 100.000000 0.000000 0.020518 100.000000 0.000000 -0.177171 100.000000 0.000000 0.020518 100.000000 0 0 -7022299 -3601024 7891771.500000 0.000000 0.957267 100.000000
78427110 0 -179503 100.000000 0.000000 0.020384 100.000000 0.000000 -0.181959 100.000000 0.000000 0.020384 100.000000 0 0 -7125649 -3747789 8051136.500000 0.000000 0.977651 100.000000
