t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
514 0 0 1 0 24 0 183 0 -460 0 0 0 -162
771 0 0 1 0 17 0 182 0 -536 0 0 0 -173
1028 0 0 1 0 20 0 183 0 -512 0 0 0 -176
1285 0 0 1 0 23 0 183 0 -532 0 0 0 -177
1542 0 0 1 0 12 0 183 0 -476 0 0 0 -146
1799 0 0 1 0 21 0 182 0 -464 0 0 0 -173
2056 0 0 1 0 20 0 183 0 -448 0 0 0 -177
2313 0 0 1 0 18 0 183 0 -340 0 0 0 -174
2570 0 0 1 0 17 0 183 0 -424 0 0 0 -185
2827 0 0 1 0 18 0 182 0 -436 0 0 0 -179
3084 0 0 1 0 21 0 182 0 -316 0 0 0 -210
3341 3 0 1 0 12 0 184 0 1008 0 0 0 -1413
3598 30 11 1 0 40 0 189 0 -704 0 0 0 -1248
3855 40 35 1 0 37 0 192 0 -1036 0 0 0 36
4112 35 40 1 0 40 0 192 0 60 0 0 0 458
4369 28 31 1 0 37 0 192 0 1604 0 0 0 -160
4626 19 27 1 0 24 0 190 0 -368 0 0 0 777
4883 10 23 1 0 29 0 185 0 -1008 0 0 0 1195
5140 12 23 1 0 37 0 180 0 -372 0 0 0 267
5397 24 23 1 0 35 0 182 0 348 0 0 0 -371
5654 28 27 1 0 33 0 179 0 -808 0 0 0 -204
5911 27 26 1 0 31 0 180 0 -1552 0 0 0 -342
6168 26 25 1 0 33 0 180 0 -824 0 0 0 -267
6425 25 25 1 0 37 0 181 0 920 0 0 0 -123
6682 25 25 1 0 33 0 181 0 2120 0 0 0 -197
6939 25 25 1 0 34 0 179 0 -1236 0 0 0 -359
7196 25 24 1 0 33 0 181 0 -844 0 0 0 -289
7453 24 25 22 0 37 0 180 0 -264 0 0 0 -75
7710 26 25 29 0 37 0 179 0 -608 0 0 0 -260
7967 25 26 12 0 33 0 180 0 -140 0 0 0 -187
8224 26 26 14 0 36 0 179 0 -1152 0 0 0 -386
8481 25 24 1 0 39 0 181 0 -532 0 0 0 -153
8738 24 24 3 0 35 0 179 0 -136 0 0 0 -215
8995 25 25 9 0 37 0 180 0 188 0 0 0 -176
9252 25 26 7 0 38 0 179 0 304 0 0 0 -128
9509 26 27 1 0 37 0 179 0 -1648 0 0 0 -243
9766 26 25 5 0 40 0 179 0 -1696 0 0 0 -221
10023 25 23 1 0 38 0 180 0 1288 0 0 0 -251
10280 24 24 1 0 36 0 182 0 -804 0 0 0 -218
10537 24 25 1 0 40 0 181 0 -1484 0 0 0 -65
10794 26 26 1 0 40 0 180 0 -2620 0 0 0 -186
11051 26 26 1 0 40 0 179 0 -1524 0 0 0 -97
11308 25 25 1 0 43 0 180 0 1092 0 0 0 -18
11565 25 25 1 0 45 0 180 0 -1108 0 0 0 -138
11822 25 24 1 0 47 0 178 0 -1236 0 0 0 -113
12079 25 26 1 0 47 0 179 0 -672 0 0 0 -92
12336 27 25 1 0 50 0 179 0 -448 0 0 0 -377
