t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
1000 0 -5 100.000000 0.000000 0.010792 100.000000 0.000000 -0.019154 100.000000 0.000000 0.021583 100.000000 0 0 -5 0 5.000000 0.000000 0.010792 100.000000
1500 0 -21 100.000000 0.000000 0.011525 100.000000 0.000000 -0.064643 100.000000 0.000000 0.023049 100.000000 0 0 -26 0 26.000000 0.000000 0.022316 100.000000
2000 0 -34 100.000000 0.000000 0.011724 100.000000 0.000000 -0.050278 100.000000 0.000000 0.023449 100.000000 0 0 -60 -1 60.008331 0.000000 0.034041 100.000000
2500 0 -49 100.000000 0.000000 0.011791 100.000000 0.000000 -0.062249 100.000000 0.000000 0.023582 100.000000 0 0 -109 -3 109.041275 0.000000 0.045832 100.000000
3000 0 -56 100.000000 0.000000 0.009726 100.000000 0.000000 -0.028730 100.000000 0.000000 0.019452 100.000000 0 0 -165 -6 165.109055 0.000000 0.055557 100.000000
3500 0 -62 100.000000 0.000000 0.011525 100.000000 0.000000 -0.021548 100.000000 0.000000 0.023049 100.000000 0 0 -227 -9 227.178345 0.000000 0.067082 100.000000
4000 0 -65 100.000000 0.000000 0.011791 100.000000 0.000000 -0.011971 100.000000 0.000000 0.023582 100.000000 0 0 -291 -13 291.290222 0.000000 0.078873 100.000000
4500 0 -51 100.000000 0.000000 0.011591 100.000000 0.000000 0.052672 100.000000 0.000000 0.023182 100.000000 0 0 -342 -17 342.422241 0.000000 0.090464 100.000000
5000 0 -51 100.000000 0.000000 0.012324 100.000000 0.000000 0.002394 100.000000 0.000000 0.024648 100.000000 0 0 -393 -22 393.615295 0.000000 0.102788 100.000000
5500 0 -52 100.000000 0.000000 0.011924 100.000000 0.000000 -0.004788 100.000000 0.000000 0.023848 100.000000 0 0 -445 -27 445.818359 0.000000 0.114712 100.000000
