t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
1000 0 0 3325 3394 2056 3394 220 0.000000 -0.275333 0.000000 0.000000 0.000000 -0.021583
1500 0 0 3325 3394 2385 3394 223 0.000000 -0.320823 0.000000 0.000000 0.000000 -0.023049
2000 0 0 3325 3394 2238 3394 220 0.000000 -0.306458 0.000000 0.000000 0.000000 -0.023449
2500 0 0 3325 3394 2100 3394 220 0.000000 -0.318429 0.000000 0.000000 0.000000 -0.023582
3000 0 0 3325 3394 2649 3394 220 0.000000 -0.284910 0.000000 0.000000 0.000000 -0.019452
3500 0 0 3325 3394 2191 3394 223 0.000000 -0.277727 0.000000 0.000000 0.000000 -0.023049
4000 0 0 3325 3394 2238 3394 220 0.000000 -0.268151 0.000000 0.000000 0.000000 -0.023582
4500 0 0 3325 3394 2335 3394 220 0.000000 -0.203507 0.000000 0.000000 0.000000 -0.023182
5000 0 0 3325 3394 2385 3394 220 0.000000 -0.253785 0.000000 0.000000 0.000000 -0.024648
5500 0 0 3325 3394 2335 3394 223 0.000000 -0.260968 0.000000 0.000000 0.000000 -0.023848
6000 0 0 3325 3394 2191 3394 223 0.000000 -0.189142 0.000000 0.000000 0.000000 -0.027979
6500 3 0 3325 3394 2649 3394 217 0.000000 0.603339 0.000000 0.000000 0.000000 -0.188256
7000 31 11 3325 3394 1460 3394 202 0.000000 -0.421380 0.000000 0.000000 0.000000 -0.166273
7500 42 37 3325 3394 1556 3394 193 0.000000 -0.620098 0.000000 0.000000 0.000000 0.004796
8000 37 42 3325 3394 1460 3394 193 0.000000 0.035913 0.000000 0.000000 0.000000 0.061020
8500 29 32 3325 3394 1556 3394 193 0.000000 0.960075 0.000000 0.000000 0.000000 -0.021317
9000 20 28 3325 3394 2056 3394 199 0.000000 -0.220267 0.000000 0.000000 0.000000 0.103521
9500 10 24 3325 3394 1847 3394 214 0.000000 -0.603339 0.000000 0.000000 0.000000 0.159211
10000 13 24 3325 3394 1556 3394 229 0.000000 -0.222661 0.000000 0.000000 0.000000 0.035573
10500 25 24 3325 3394 1625 3394 223 0.000000 0.208296 0.000000 0.000000 0.000000 -0.049429
11000 29 28 3325 3394 1696 3394 232 0.000000 -0.483629 0.000000 0.000000 0.000000 -0.027179
11500 28 27 3325 3394 1770 3394 229 0.000000 -0.928950 0.000000 0.000000 0.000000 -0.045565
12000 27 26 3325 3394 1696 3394 229 0.000000 -0.493206 0.000000 0.000000 0.000000 -0.035573
12500 26 26 3325 3394 1556 3394 226 0.000000 0.550666 0.000000 0.000000 0.000000 -0.016387
13000 26 26 3325 3394 1696 3394 226 0.000000 1.268927 0.000000 0.000000 0.000000 -0.026247
13500 26 26 3325 3394 1660 3394 232 0.000000 -0.739808 0.000000 0.000000 0.000000 -0.047830
14000 26 25 3325 3394 1696 3394 226 0.000000 -0.505177 0.000000 0.000000 0.000000 -0.038504
14500 25 26 2145 3394 1556 3394 229 0.000000 -0.158017 0.000000 0.000000 0.000000 -0.009992
15000 27 26 1847 3394 1556 3394 232 0.000000 -0.363919 0.000000 0.000000 0.000000 -0.034640
15500 26 27 2649 3394 1696 3394 229 0.000000 -0.083797 0.000000 0.000000 0.000000 -0.024914
16000 27 27 2541 3394 1590 3394 232 0.000000 -0.689530 0.000000 0.000000 0.000000 -0.051427
16500 26 25 3325 3394 1491 3394 226 0.000000 -0.318429 0.000000 0.000000 0.000000 -0.020384
17000 25 25 3192 3394 1625 3394 232 0.000000 -0.081403 0.000000 0.000000 0.000000 -0.028645
17500 26 26 2820 3394 1556 3394 229 0.000000 0.112527 0.000000 0.000000 0.000000 -0.023449
18000 26 27 2940 3394 1524 3394 232 0.000000 0.181959 0.000000 0.000000 0.000000 -0.017054
18500 27 28 3325 3394 1556 3394 232 0.000000 -0.986411 0.000000 0.000000 0.000000 -0.032375
19000 27 26 3064 3394 1460 3394 232 0.000000 -1.015141 0.000000 0.000000 0.000000 -0.029444
19500 26 24 3325 3394 1524 3394 229 0.000000 0.770933 0.000000 0.000000 0.000000 -0.033441
20000 25 25 3325 3394 1590 3394 223 0.000000 -0.481235 0.000000 0.000000 0.000000 -0.029044
20500 25 26 3325 3394 1460 3394 226 0.000000 -0.888249 0.000000 0.000000 0.000000 -0.008660
21000 27 27 3325 3394 1460 3394 229 0.000000 -1.568202 0.000000 0.000000 0.000000 -0.024781
21500 27 27 3325 3394 1460 3394 232 0.000000 -0.912191 0.000000 0.000000 0.000000 -0.012923
22000 26 26 3325 3394 1369 3394 229 0.000000 0.653617 0.000000 0.000000 0.000000 -0.002398
22500 26 26 3325 3394 1312 3394 229 0.000000 -0.663194 0.000000 0.000000 0.000000 -0.018386
23000 26 25 3325 3394 1258 3394 234 0.000000 -0.739808 0.000000 0.000000 0.000000 -0.015055
23500 26 27 3325 3394 1258 3394 232 0.000000 -0.402226 0.000000 0.000000 0.000000 -0.012257
24000 28 26 3325 3394 1181 3394 232 0.000000 -0.268151 0.000000 0.000000 0.000000 -0.050228
24500 26 27 3325 3394 1181 3394 232 0.000000 0.399832 0.000000 0.000000 0.000000 -0.011058
25000 25 25 3325 3394 1157 3394 234 0.000000 -0.780510 0.000000 0.000000 0.000000 -0.026247
25500 26 25 3325 3394 1133 3394 237 0.000000 -0.974440 0.000000 0.000000 0.000000 -0.017587
26000 26 27 3325 3394 1065 3394 234 0.000000 0.088585 0.000000 0.000000 0.000000 -0.022516
26500 25 25 3325 3394 1022 3394 240 0.000000 0.531513 0.000000 0.000000 0.000000 -0.018786
27000 23 27 3325 3394 1001 3394 240 0.000000 -0.476446 0.000000 0.000000 0.000000 0.045698
27500 13 24 3325 3394 962 3394 252 0.000000 -0.517148 0.000000 0.000000 0.000000 0.165873
