t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
1367321048653 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321048753 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321048853 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321048953 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049053 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049153 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049253 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049353 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049453 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049553 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049653 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049753 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049853 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321049953 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050053 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050153 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050253 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050353 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050453 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050553 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050653 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050753 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050853 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321050953 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051053 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051153 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051253 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051353 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051453 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051553 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051653 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051753 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051853 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321051953 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052053 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052153 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052253 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052353 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052453 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052553 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052653 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052753 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052853 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321052953 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321053053 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321053153 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321053253 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321053353 20 15 50 0 0 0 0 0 10 0 0 0 0
1367321053453 20 15 50 0 0 0 0 0 10 0 0 0 0
