t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
1367016130379 29 0 100.000000 0.019595 -0.000000 100.000000 2.900000 0.000000 100.000000 0.195946 -0.000000 100.000000 29 0 0 0 29.000000 0.019595 0.000000 100.000000
1367016130479 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 58 1 0 0 58.008621 0.039189 0.000000 100.000000
1367016130579 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 87 2 0 0 87.022987 0.058784 0.000000 100.000000
1367016130679 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 116 4 0 0 116.068947 0.078378 0.000000 100.000000
1367016130779 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 145 6 0 0 145.124084 0.097973 0.000000 100.000000
1367016130879 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 174 9 0 0 174.232605 0.117568 0.000000 100.000000
1367016130979 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 203 12 0 0 203.354370 0.137162 0.000000 100.000000
1367016131079 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 232 16 0 0 232.551071 0.156757 0.000000 100.000000
1367016131179 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 261 21 0 0 261.843475 0.176351 0.000000 100.000000
1367016131279 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 290 26 0 0 291.163177 0.195946 0.000000 100.000000
1367016131379 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 318 32 0 0 319.606018 0.215541 0.000000 100.000000
1367016131479 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 346 38 0 0 348.080444 0.235135 0.000000 100.000000
1367016131579 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 374 45 0 0 376.697479 0.254730 0.000000 100.000000
1367016131679 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 402 52 0 0 405.349243 0.274324 0.000000 100.000000
1367016131779 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 430 60 0 0 434.165863 0.293919 0.000000 100.000000
1367016131879 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 458 68 0 0 463.020508 0.313514 0.000000 100.000000
1367016131979 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 486 77 0 0 492.061981 0.333108 0.000000 100.000000
1367016132079 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 513 86 0 0 520.158630 0.352703 0.000000 100.000000
1367016132179 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 540 96 0 0 548.466980 0.372297 0.000000 100.000000
1367016132279 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 567 107 0 0 577.007813 0.391892 0.000000 100.000000
1367016132379 29 0 100.000000 0.019595 -0.000000 100.000000 0.000000 0.000000 0.000000 0.195946 -0.000000 100.000000 594 118 0 0 605.607117 0.411487 0.000000 100.000000
