t encoder_esq encoder_dir IR1 IR2 IR3 IR4 IR5 Ax Ay Az Gx Gy Gz
4527522 -34 -37 8 8 8 8 8 2244 792 18376 120 -223 -77
4527622 -17 -36 7 7 8 8 8 352 7164 22152 35 -113 -60
4527722 -3 -37 7 7 8 8 8 452 -836 17176 -113 -285 -73
4527822 -14 -37 7 8 8 8 8 988 72 17032 98 -441 -427
4527922 -16 -35 7 7 7 8 8 2236 1540 18820 393 -524 -214
4528022 -16 -37 7 8 8 8 8 2816 2256 18428 52 -360 -67
4528122 -16 -37 7 8 8 8 8 1636 2264 18240 -62 -207 -63
4528222 -16 -37 7 8 8 8 8 -324 1932 17220 -53 -215 -179
4528322 -16 -37 7 8 8 8 8 -288 1480 17656 48 -353 -187
4528422 -16 -37 7 8 8 8 8 380 184 18364 285 -522 -140
4528522 -16 -36 8 8 8 8 9 1300 624 18932 373 -535 -131
4528622 -16 -37 8 8 8 8 9 2244 1208 18892 -49 -386 -176
4528722 -14 -35 8 8 8 8 9 1496 544 18272 23 -233 -142
4528822 -15 -36 8 8 8 8 9 68 -192 17672 123 -209 -18
4528922 -16 -38 8 8 8 8 9 -64 -1860 17640 232 -369 -96
4529022 -16 -37 8 8 8 8 9 932 -2456 18300 200 -474 -301
4529122 -12 -37 8 8 8 8 9 2192 -1388 18548 77 -425 -302
4529222 -16 -37 8 8 8 8 9 1472 -1480 18380 174 -259 -120
4529322 -16 -36 8 8 8 8 9 -164 -2020 17880 218 -216 -28
4529422 -12 -37 7 8 8 8 8 -444 -2824 17380 20 -302 -309
4529522 -16 -37 7 7 8 8 8 552 -1972 18072 20 -394 -368
4529622 -16 -37 7 7 8 8 8 1976 -1356 18828 210 -518 -293
4529722 -16 -37 7 7 8 8 8 2724 -400 18552 160 -348 -204
4529822 -16 -37 7 8 8 8 8 1324 -408 17836 -62 -214 -163
4529922 -16 -37 7 7 7 8 8 624 372 17340 -149 -136 -264
4530022 -15 -37 7 7 8 8 8 424 764 17392 13 -295 -198
4530122 -14 -34 7 7 8 8 8 1080 -32 17260 284 -420 -132
4530222 -16 -37 7 7 8 8 8 2152 1184 18376 260 -492 -225
4530322 -16 -37 8 8 8 8 8 2684 2100 18240 -98 -378 -248
4530422 -16 -36 7 8 8 8 8 1312 2068 17724 -32 -216 -144
4530522 -16 -37 7 8 8 8 8 -36 1496 17564 157 -271 -9
4530622 -16 -38 7 8 7 8 8 860 844 17968 247 -446 -181
4530722 -16 -37 7 8 8 8 8 1860 1856 18796 59 -477 -228
4530822 -16 -37 8 8 8 8 9 1416 1564 18780 36 -295 -115
4530922 -15 -38 8 8 8 8 9 232 1340 17844 71 -218 -4
4531022 -16 -37 8 8 8 8 9 -648 -164 17812 113 -249 -73
4531122 -16 -37 8 8 8 8 9 612 -580 17332 95 -438 -298
4531222 -16 -37 8 8 8 8 9 2152 -948 18500 277 -510 -204
4531322 -16 -37 8 8 8 8 9 2336 -468 17760 193 -367 -75
4531422 -15 -36 8 8 8 8 9 1644 -1512 17524 42 -263 -117
4531522 -14 -37 8 8 8 8 9 516 -1780 17336 -2 -178 -235
4531622 -16 -34 8 8 8 8 9 156 -2352 17944 186 -365 -225
4531722 -16 -37 8 8 8 8 8 612 -2024 20492 538 -460 125
4531822 -31 -36 8 8 8 8 8 2288 824 18524 3 -374 -351
4531922 -32 -36 8 8 8 8 8 1772 -216 18696 89 -372 -97
4532022 -35 -34 8 8 8 8 8 576 324 17596 73 -246 -112
4532122 -34 -37 8 8 8 8 8 -284 -860 17532 78 -367 -223
4532222 -35 -36 8 8 8 8 8 900 -1220 17916 181 -432 -345
4532322 -35 -37 7 8 8 8 8 2612 -480 18776 270 -421 -203
4532422 -34 -37 8 8 8 8 8 2328 -484 18620 85 -277 -150
4532522 -35 -36 8 8 8 8 8 1136 -528 17760 13 -177 -131
4532622 -35 -37 8 8 8 8 8 -140 -952 17124 66 -319 -190
4532722 -35 -32 7 8 8 8 8 -472 -104 16596 417 -554 -74
4532822 -35 -17 7 7 8 8 8 580 2152 17940 135 -333 -221
4532922 -33 -18 7 7 7 8 7 1060 1756 18848 142 -374 -216
4533022 -35 -18 7 7 7 8 7 1080 2440 18708 79 -334 -109
4533122 -34 -18 8 8 8 8 8 832 2188 18296 213 -416 -101
4533222 -32 -17 8 8 8 8 8 400 1816 18124 178 -445 -101
4533322 -35 -18 8 8 8 8 8 536 1864 18212 154 -418 -145
4533422 -34 -17 8 8 8 8 8 1184 1388 18036 297 -312 -128
4533522 -34 -18 8 8 8 8 8 1332 1020 17736 171 -348 -133
4533622 -34 -17 8 8 8 8 8 1028 240 17504 210 -468 -76
4533722 -35 -18 8 8 8 8 8 884 -608 17584 265 -464 -135
4533822 -34 -17 8 8 8 8 8 844 -512 17984 173 -339 -176
4533922 -35 -18 8 8 8 8 8 1024 -1476 18292 204 -329 -208
4534022 -34 -17 8 8 8 8 8 1144 -1728 18192 259 -317 -190
4534122 -35 -18 8 8 8 8 8 912 -2312 17872 201 -362 -212
4534222 -34 -23 8 8 8 8 8 1332 996 17896 435 -424 -148
4534322 -34 -33 8 8 8 8 8 1144 96 18376 0 -416 -263
4534422 -34 -34 8 8 8 8 8 1812 24 18708 56 -324 -222
4534522 -34 -37 8 7 8 8 8 2100 424 18428 79 -213 -138
4534622 -34 -37 8 8 8 8 8 924 8 17608 -54 -128 -112
4534722 -33 -38 8 8 8 8 8 576 -684 16932 118 -311 -194
4534822 -34 -37 8 8 8 8 8 724 -1032 16928 192 -505 -296
4534922 -33 -37 8 8 8 8 8 1652 -576 17988 139 -528 -265
4535022 -33 -37 8 8 8 8 8 2484 -124 18712 176 -347 -223
4535122 -34 -35 7 7 7 8 7 1932 -52 18924 21 -179 -158
4535222 -34 -37 7 7 7 8 7 388 -344 18452 -27 -152 -140
4535322 -31 -36 7 7 7 8 7 -228 -296 17976 103 -306 -182
4535422 -33 -36 8 8 8 8 8 3840 380 20492 -63 -15 221
4535522 -8 -9 7 8 8 8 8 4004 -1240 19156 18 -395 106
4535622 -1 -1 8 8 8 8 8 1948 -1216 19244 520 -355 -55
4535722 0 -1 8 8 8 8 8 1272 304 18564 -53 -223 -221
4535822 0 -1 7 8 8 8 8 1084 -620 18256 32 -309 -172
4535922 0 0 7 8 8 8 8 1104 -136 18160 286 -333 -203
4536022 0 0 8 8 8 8 8 1128 -140 18180 47 -336 -201
4536122 0 0 8 8 8 8 8 1056 -272 18056 103 -323 -171
4536222 0 0 7 8 8 8 8 1076 -112 18104 186 -356 -199
4536322 0 -1 7 8 8 8 8 1064 -124 18008 33 -317 -171
4536422 0 0 7 8 8 8 8 1044 -300 18024 97 -351 -161
4536522 0 0 7 7 8 8 8 1064 -112 18044 149 -348 -170
4536622 0 0 8 8 8 8 8 1124 -8 17984 72 -343 -185
4536722 0 0 8 8 8 8 8 1032 -224 18140 183 -334 -183
4536822 0 0 7 7 8 8 8 1104 -56 18048 144 -375 -171
4536922 0 0 7 8 8 8 8 1112 -196 18176 38 -353 -176
4537022 0 0 8 8 8 8 8 1156 -144 18160 156 -321 -188
4537122 0 0 7 8 8 8 8 1096 -116 18072 96 -335 -195
4537222 0 0 7 7 8 8 8 1116 -272 18104 104 -340 -172
4537322 0 0 8 8 8 9 9 1152 -184 18076 97 -348 -190
4537422 0 0 8 8 8 8 8 1108 -120 18208 100 -331 -205
4537522 0 0 7 7 8 8 8 1116 -140 18116 144 -326 -174
4537622 0 0 8 8 8 8 8 1004 -168 17992 154 -338 -200
4537722 0 0 7 7 7 8 8 1076 -140 18096 87 -367 -185
4537822 0 0 8 8 8 8 8 1128 -108 18088 94 -342 -185
4537922 0 0 7 7 8 8 8 1004 -120 18144 154 -330 -192
4538022 0 0 8 9 9 9 9 1144 -284 18004 84 -345 -161
