t encoder_esq(mm) encoder_dir IR1(mm) IR2 IR3 IR4 IR5 Ax(m/s^2) Ay Az Gx(rad/s) Gy Gz
5934814 0 0 1285 1399 1524 1625 822 0.627281 0.263362 10.919953 0.004663 -0.041568 -0.022383
5934914 0 0 1285 1399 1524 1625 822 0.653617 0.296881 10.828974 0.009459 -0.047564 -0.020651
5935014 0 0 1285 1399 1524 1625 871 0.701501 0.265756 10.826580 0.015188 -0.049695 -0.021583
5935114 0 0 1285 1399 1524 1625 806 0.706289 0.248997 10.852916 0.013590 -0.048629 -0.022516
5935214 0 0 1285 1399 1524 1625 806 0.694318 0.229843 10.850522 0.009459 -0.044100 -0.020384
5935314 0 0 1285 1399 1524 1625 806 0.727837 0.213084 10.864887 0.006662 -0.042101 -0.021583
5935414 0 0 1285 1399 1524 1625 806 0.689530 0.239420 10.809820 0.005329 -0.041568 -0.023582
5935514 0 0 1285 1399 1524 1625 822 0.708684 0.253785 10.941502 0.012124 -0.048363 -0.023449
5935614 0 0 1285 1399 1524 1625 822 0.699107 0.241814 10.864887 0.013590 -0.046498 -0.022516
5935714 0 0 1285 1399 1524 1625 822 0.718261 0.265756 10.872069 0.007994 -0.042101 -0.020917
5935814 0 0 1285 1399 1524 1625 822 0.723049 0.232238 10.867281 0.012790 -0.049429 -0.023982
5935914 0 0 1285 1399 1524 1625 806 0.636858 0.213084 10.814609 0.010525 -0.045032 -0.019585
5936014 0 0 1285 1399 1524 1625 806 0.711078 0.308852 10.790667 0.011858 -0.044366 -0.024248
5936114 0 0 1285 1399 1524 1625 806 0.663194 0.225055 10.848127 0.007328 -0.045032 -0.022649
5936214 0 0 1285 1399 1524 1625 806 0.696713 0.222661 10.876858 0.009992 -0.043833 -0.020118
5936314 0 0 1285 1399 1524 1625 822 0.691924 0.181959 10.879252 0.008127 -0.044766 -0.023049
5936414 0 0 1285 1399 1524 1625 806 0.663194 0.205901 10.783484 0.006262 -0.043433 -0.022783
5936514 0 0 1285 1399 1524 1625 822 0.651223 0.260968 10.917560 0.010792 -0.045299 -0.023848
5936614 0 0 1285 1399 1524 1625 806 0.699107 0.299275 10.843339 0.005596 -0.043966 -0.023715
5936714 0 0 1285 1399 1491 1625 806 0.667982 0.213084 10.735600 0.007994 -0.043833 -0.022516
5936814 0 0 1285 1399 1524 1625 806 0.720655 0.251391 10.879252 0.011858 -0.046631 -0.021450
5936914 0 0 1285 1399 1524 1625 806 0.691924 0.301669 10.761936 0.006262 -0.045165 -0.021583
5937014 0 0 1285 1399 1524 1625 806 0.677559 0.277727 10.807426 0.006262 -0.041302 -0.020251
5937114 0 0 1285 1399 1524 1625 806 0.713472 0.220267 10.819397 0.012524 -0.049162 -0.022649
5937214 0 0 1285 1399 1524 1625 822 0.658405 0.272939 10.869676 0.010658 -0.049962 -0.022383
5937314 0 0 1285 1399 1524 1625 806 0.656011 0.284910 10.843339 0.008926 -0.044632 -0.019052
5937414 0 0 1285 1399 1524 1625 822 0.660800 0.258574 10.771513 0.008926 -0.047164 -0.022383
5937514 0 0 1285 1399 1524 1625 806 0.660800 0.272939 10.917560 0.007727 -0.045965 -0.021450
5937614 0 0 1285 1399 1491 1625 806 0.665588 0.272939 10.843339 0.012124 -0.047830 -0.022516
5937714 0 0 1285 1399 1524 1625 806 0.696713 0.198719 10.824185 0.007727 -0.043833 -0.020251
5937814 0 0 1285 1399 1524 1625 806 0.703895 0.287304 10.838551 0.016521 -0.046098 -0.020651
5937914 0 0 1285 1399 1524 1625 806 0.696713 0.265756 10.867281 0.004930 -0.045432 -0.024515
5938014 0 0 1285 1399 1524 1625 822 0.667982 0.198719 10.831368 0.007594 -0.044499 -0.022383
5938114 0 0 1285 1399 1524 1625 822 0.689530 0.220267 10.934319 0.011724 -0.040769 -0.022250
5938214 0 0 1285 1399 1524 1625 806 0.756568 0.260968 10.869676 0.008660 -0.049695 -0.021051
5938314 0 0 1285 1399 1524 1625 822 0.713472 0.268151 10.888829 0.005995 -0.042634 -0.023182
5938414 0 0 1285 1399 1491 1625 806 0.737414 0.275333 10.893618 0.004263 -0.044899 -0.022516
5938514 0 0 1285 1399 1524 1625 806 0.667982 0.186748 10.828974 0.008260 -0.044632 -0.023449
5938614 0 0 1285 1399 1524 1625 822 0.667982 0.280122 10.898406 0.010792 -0.047430 -0.021184
5938714 0 0 1285 1399 1524 1625 806 0.756568 0.210690 10.931925 0.007061 -0.045165 -0.021051
5938814 0 0 1285 1399 1524 1625 822 0.687136 0.251391 10.817003 0.012923 -0.049695 -0.021317
5938914 0 0 1285 1399 1524 1625 806 0.644040 0.239420 10.817003 0.006795 -0.049162 -0.021983
5939014 0 0 1285 1399 1524 1625 822 0.727837 0.246603 10.848127 0.007194 -0.044899 -0.022916
5939114 0 0 1285 1399 1491 1625 822 0.667982 0.313640 10.857704 0.013190 -0.053159 -0.021051
5939214 0 0 1285 1399 1524 1625 822 0.718261 0.256180 10.843339 0.014922 -0.048629 -0.022516
5939314 0 0 1285 1399 1491 1625 791 0.758962 0.248997 10.821792 0.009859 -0.044632 -0.025047
5939414 0 0 1285 1399 1524 1625 806 0.737414 0.270545 10.886435 0.007727 -0.043833 -0.022250
5939514 0 0 1285 1399 1524 1625 806 0.713472 0.225055 10.879252 0.012524 -0.046764 -0.020118
5939614 0 0 1285 1399 1524 1625 806 0.665588 0.227449 10.891223 0.005063 -0.042900 -0.021450
5939714 0 0 1285 1399 1524 1625 806 0.708684 0.220267 10.826580 0.009593 -0.043966 -0.021583
5939814 0 0 1285 1399 1524 1625 822 0.660800 0.248997 10.876858 0.008394 -0.040636 -0.020384
5939914 0 0 1285 1399 1524 1625 822 0.727837 0.256180 10.754754 0.009726 -0.046231 -0.019851
5940014 0 0 1285 1399 1524 1625 822 0.672771 0.287304 10.843339 0.008260 -0.043833 -0.023049
5940114 0 0 1285 1399 1524 1625 806 0.761356 0.220267 10.869676 0.005596 -0.041968 -0.022649
5940214 0 0 1285 1399 1524 1625 806 0.658405 0.244209 10.879252 0.010925 -0.047830 -0.021583
5940314 0 0 1285 1399 1524 1625 806 0.675165 0.260968 10.831368 0.012257 -0.045165 -0.023315
5940414 0 0 1285 1399 1524 1625 806 0.696713 0.203507 10.874464 0.009726 -0.043034 -0.021583
5940514 0 0 1285 1399 1524 1625 822 0.725443 0.272939 10.903194 0.016654 -0.045165 -0.020917
5940614 0 0 1285 1399 1524 1625 822 0.703895 0.272939 10.876858 0.009193 -0.044766 -0.024914
5940714 0 0 1285 1399 1524 1625 822 0.677559 0.265756 10.924742 0.011591 -0.045698 -0.021184
5940814 0 0 1285 1399 1524 1625 806 0.699107 0.260968 10.915165 0.007727 -0.041701 -0.022383
5940914 0 0 1285 1399 1524 1625 822 0.689530 0.241814 10.874464 0.005862 -0.047297 -0.020118
5941014 0 0 1285 1399 1524 1625 806 0.701501 0.239420 10.896011 0.015055 -0.047963 -0.021850
5941114 0 0 1285 1399 1524 1625 806 0.725443 0.275333 10.836157 0.010925 -0.045032 -0.020784
5941214 0 0 1285 1399 1524 1625 806 0.720655 0.232238 10.941502 0.009060 -0.042767 -0.022383
5941314 0 0 1285 1399 1524 1625 822 0.684742 0.277727 10.809820 0.013590 -0.049695 -0.022250
5941414 0 0 1285 1399 1524 1625 822 0.620098 0.280122 10.797850 0.009726 -0.044766 -0.020784
5941514 0 0 1285 1399 1524 1625 806 0.703895 0.287304 10.915165 0.010259 -0.047564 -0.021317
5941614 0 0 1285 1399 1524 1625 822 0.682347 0.208296 10.855310 0.011058 -0.044499 -0.025580
5941714 0 0 1285 1399 1524 1625 806 0.715866 0.246603 10.860099 0.005862 -0.042101 -0.023182
5941814 0 0 1285 1399 1524 1625 806 0.687136 0.256180 10.845734 0.009726 -0.046231 -0.023715
5941914 0 0 1285 1399 1524 1625 822 0.648829 0.232238 10.805032 0.010126 -0.048096 -0.022516
5942014 0 0 1285 1399 1524 1625 822 0.675165 0.244209 10.884041 0.004263 -0.045698 -0.021450
