t(ms) deslocamento_encoders(mm) deslocamento_acelerometro_Y(mm) erro_deslocamento_acelerometro(%) desloc_angular_encoders(rad) desloc_angular_giroscopio_Z(rad) erro_desloc_angular_giroscopio(%) acel_encoders(m/s^2) acel_acelerometro_Y(m/s^2) erro_acel_acelerometro(%) vel_angular_encoders(rad/s) vel_angular_giroscopio_Z(rad/s) erro_vel_angular_giroscopio(%) posicao_encoders_X(mm) posicao_encoders_Y(mm) posicao_acelgiro_X(mm) posicao_acelgiro_Y(mm) erro_posicao_acelgiro(mm) angulo_encoders(rad) angulo_giroscopio(rad) erro_angulo_giro(%)
7036973 0 53 100.000000 0.000000 0.001799 100.000000 0.000000 0.241814 Infinity 0.000000 0.017986 100.000000 0 0 625 14 625.156799 0.000000 0.037118 100.000000
7037073 0 55 100.000000 0.000000 0.001532 100.000000 0.000000 0.186748 Infinity 0.000000 0.015322 100.000000 0 0 680 16 680.188232 0.000000 0.038650 100.000000
7037173 0 57 100.000000 0.000000 0.001532 100.000000 0.000000 0.203507 Infinity 0.000000 0.015322 100.000000 0 0 737 18 737.219788 0.000000 0.040183 100.000000
7037273 0 60 100.000000 0.000000 0.001879 100.000000 0.000000 0.287304 Infinity 0.000000 0.018786 100.000000 0 0 797 20 797.250916 0.000000 0.042061 100.000000
7037373 0 62 100.000000 0.000000 0.001759 100.000000 0.000000 0.210690 Infinity 0.000000 0.017587 100.000000 0 0 859 23 859.307861 0.000000 0.043820 100.000000
7037473 0 65 100.000000 0.000000 0.001665 100.000000 0.000000 0.229843 Infinity 0.000000 0.016654 100.000000 0 0 924 26 924.365723 0.000000 0.045485 100.000000
7037573 0 67 100.000000 0.000000 0.001532 100.000000 0.000000 0.241814 Infinity 0.000000 0.015322 100.000000 0 0 991 29 991.424255 0.000000 0.047017 100.000000
7037673 0 70 100.000000 0.000000 0.001612 100.000000 0.000000 0.284910 Infinity 0.000000 0.016121 100.000000 0 0 1061 32 1061.482422 0.000000 0.048629 100.000000
7037773 0 72 100.000000 0.000000 0.001532 100.000000 0.000000 0.225055 Infinity 0.000000 0.015322 100.000000 0 0 1133 36 1133.571777 0.000000 0.050162 100.000000
7037873 0 75 100.000000 0.000000 0.001372 100.000000 0.000000 0.234632 Infinity 0.000000 0.013723 100.000000 0 0 1207 40 1207.662598 0.000000 0.051534 100.000000
7037973 0 77 100.000000 0.000000 0.001879 100.000000 0.000000 0.280122 Infinity 0.000000 0.018786 100.000000 0 0 1284 44 1284.753662 0.000000 0.053412 100.000000
7038073 0 79 100.000000 0.000000 0.001732 100.000000 0.000000 0.215478 Infinity 0.000000 0.017320 100.000000 0 0 1363 48 1363.844971 0.000000 0.055144 100.000000
7038173 0 82 100.000000 0.000000 0.001506 100.000000 0.000000 0.299275 Infinity 0.000000 0.015055 100.000000 0 0 1445 53 1445.971680 0.000000 0.056650 100.000000
7038273 0 85 100.000000 0.000000 0.001825 100.000000 0.000000 0.241814 Infinity 0.000000 0.018253 100.000000 0 0 1530 58 1531.098999 0.000000 0.058475 100.000000
7038373 0 87 100.000000 0.000000 0.001692 100.000000 0.000000 0.191536 Infinity 0.000000 0.016920 100.000000 0 0 1617 63 1618.226807 0.000000 0.060167 100.000000
7038473 0 89 100.000000 0.000000 0.001692 100.000000 0.000000 0.237026 Infinity 0.000000 0.016920 100.000000 0 0 1706 68 1707.354736 0.000000 0.061859 100.000000
7038573 0 91 100.000000 0.000000 0.001679 100.000000 0.000000 0.227449 Infinity 0.000000 0.016787 100.000000 0 0 1797 74 1798.522949 0.000000 0.063538 100.000000
7038673 0 94 100.000000 0.000000 0.001799 100.000000 0.000000 0.217872 Infinity 0.000000 0.017986 100.000000 0 0 1890 80 1891.692383 0.000000 0.065337 100.000000
7038773 0 96 100.000000 0.000000 0.001412 100.000000 0.000000 0.258574 Infinity 0.000000 0.014123 100.000000 0 0 1986 86 1987.861206 0.000000 0.066749 100.000000
7038873 0 99 100.000000 0.000000 0.001492 100.000000 0.000000 0.299275 Infinity 0.000000 0.014922 100.000000 0 0 2085 93 2087.072998 0.000000 0.068241 100.000000
7038973 0 102 100.000000 0.000000 0.001599 100.000000 0.000000 0.251391 Infinity 0.000000 0.015988 100.000000 0 0 2186 100 2188.286133 0.000000 0.069840 100.000000
7039073 0 104 100.000000 0.000000 0.001652 100.000000 0.000000 0.241814 Infinity 0.000000 0.016521 100.000000 0 0 2290 107 2292.498535 0.000000 0.071492 100.000000
7039173 0 106 100.000000 0.000000 0.001492 100.000000 0.000000 0.208296 Infinity 0.000000 0.014922 100.000000 0 0 2396 115 2398.758301 0.000000 0.072984 100.000000
7039273 0 109 100.000000 0.000000 0.001506 100.000000 0.000000 0.239420 Infinity 0.000000 0.015055 100.000000 0 0 2504 123 2507.019043 0.000000 0.074490 100.000000
7039373 0 111 100.000000 0.000000 0.001785 100.000000 0.000000 0.239420 Infinity 0.000000 0.017853 100.000000 0 0 2615 131 2618.279297 0.000000 0.076275 100.000000
7039473 0 113 100.000000 0.000000 0.001479 100.000000 0.000000 0.215478 Infinity 0.000000 0.014789 100.000000 0 0 2728 140 2731.590088 0.000000 0.077754 100.000000
7039573 0 116 100.000000 0.000000 0.001399 100.000000 0.000000 0.241814 Infinity 0.000000 0.013989 100.000000 0 0 2843 149 2846.901855 0.000000 0.079153 100.000000
7039673 0 118 100.000000 0.000000 0.001972 100.000000 0.000000 0.237026 Infinity 0.000000 0.019718 100.000000 0 0 2961 158 2965.212402 0.000000 0.081125 100.000000
7039773 0 121 100.000000 0.000000 0.001599 100.000000 0.000000 0.253785 Infinity 0.000000 0.015988 100.000000 0 0 3081 168 3085.576904 0.000000 0.082723 100.000000
7039873 0 123 100.000000 0.000000 0.001665 100.000000 0.000000 0.258574 Infinity 0.000000 0.016654 100.000000 0 0 3204 178 3208.940674 0.000000 0.084389 100.000000
7039973 0 125 100.000000 0.000000 0.001652 100.000000 0.000000 0.201113 Infinity 0.000000 0.016521 100.000000 0 0 3329 189 3334.360840 0.000000 0.086041 100.000000
7040073 0 128 100.000000 0.000000 0.002092 100.000000 0.000000 0.248997 Infinity 0.000000 0.020917 100.000000 0 0 3456 200 3461.782227 0.000000 0.088132 100.000000
7040173 0 130 100.000000 0.000000 0.001466 100.000000 0.000000 0.260968 Infinity 0.000000 0.014655 100.000000 0 0 3586 211 3592.202148 0.000000 0.089598 100.000000
7040273 0 133 100.000000 0.000000 0.001732 100.000000 0.000000 0.253785 Infinity 0.000000 0.017320 100.000000 0 0 3718 223 3724.681641 0.000000 0.091330 100.000000
7040373 0 135 100.000000 0.000000 0.001812 100.000000 0.000000 0.251391 Infinity 0.000000 0.018119 100.000000 0 0 3853 235 3860.159912 0.000000 0.093142 100.000000
7040473 0 138 100.000000 0.000000 0.001506 100.000000 0.000000 0.248997 Infinity 0.000000 0.015055 100.000000 0 0 3990 248 3997.699951 0.000000 0.094647 100.000000
7040573 0 141 100.000000 0.000000 0.001599 100.000000 0.000000 0.318429 Infinity 0.000000 0.015988 100.000000 0 0 4130 261 4138.238770 0.000000 0.096246 100.000000
7040673 0 144 100.000000 0.000000 0.001839 100.000000 0.000000 0.289698 Infinity 0.000000 0.018386 100.000000 0 0 4273 275 4281.839844 0.000000 0.098085 100.000000
